time,wind_speed_10m,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_80m,wind_speed_80m_previous_day1,wind_speed_80m_previous_day2,wind_speed_100m,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,wind_speed_120m,wind_speed_120m_previous_day1,wind_speed_120m_previous_day2,wind_direction_100m,wind_direction_100m_previous_day1,wind_direction_100m_previous_day2,wind_gusts_10m,wind_gusts_10m_previous_day1,wind_gusts_10m_previous_day2,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,surface_pressure,surface_pressure_previous_day1,surface_pressure_previous_day2
2026-02-09 00:00:00+00:00,5.92,5.45,5.8,9.45,8.98,9.77,9.69,9.21,10.02,9.89,9.4,10.23,130,131,126,9.5,8.7,7.9,-4.6,-4.1,-4.1,957.9,957.8,957.7
2026-02-09 01:00:00+00:00,5.9,5.22,5.51,9.46,8.62,9.31,9.71,8.85,9.55,9.91,9.03,9.75,125,129,133,9.1,8.3,8.0,-4.3,-3.8,-3.8,956.6,956.9,957.2
2026-02-09 02:00:00+00:00,5.6,5.44,5.31,9.13,8.97,8.89,9.37,9.2,9.12,9.56,9.39,9.31,130,126,136,9.3,7.4,7.3,-3.9,-3.6,-3.5,955.8,956.1,956.6
2026-02-09 03:00:00+00:00,5.42,5.17,5.31,8.83,8.64,8.71,9.06,8.86,8.93,9.25,9.05,9.12,132,123,128,8.6,6.8,6.7,-3.5,-3.3,-3.1,955.5,955.5,956.0
2026-02-09 04:00:00+00:00,5.29,4.99,5.66,8.48,8.31,9.18,8.7,8.52,9.42,8.88,8.7,9.61,135,134,125,8.3,7.4,6.7,-3.0,-2.9,-2.6,955.4,955.6,955.5
2026-02-09 05:00:00+00:00,4.84,4.27,5.28,7.9,8.24,8.42,8.1,8.46,8.63,8.27,8.63,8.81,137,141,137,8.2,7.4,6.1,-2.5,-2.0,-2.1,954.5,955.0,955.3
2026-02-09 06:00:00+00:00,4.35,4.1,4.41,7.84,8.0,8.65,8.04,8.21,8.88,8.21,8.38,9.06,143,149,148,7.8,7.0,6.3,-1.7,-1.2,-0.8,953.8,954.2,954.3
2026-02-09 07:00:00+00:00,4.74,3.68,4.3,6.53,7.76,8.51,6.69,7.96,8.73,6.83,8.13,8.91,159,155,156,7.7,6.3,6.3,0.2,-0.7,-0.1,953.6,953.7,953.7
2026-02-09 08:00:00+00:00,3.52,3.19,3.67,5.26,5.44,6.48,5.4,5.58,6.65,5.51,5.7,6.79,173,160,157,7.8,5.8,6.1,1.5,1.0,1.1,952.7,953.2,953.1
2026-02-09 09:00:00+00:00,3.05,2.66,3.64,5.02,4.55,6.0,5.15,4.67,6.16,5.26,4.76,6.28,188,163,178,5.7,5.2,5.7,2.4,1.7,1.9,952.6,952.5,952.6
2026-02-09 10:00:00+00:00,2.86,2.49,3.01,5.5,4.73,5.85,5.65,4.85,6.0,5.76,4.95,6.13,197,178,191,5.3,4.8,5.2,2.9,2.3,2.4,952.0,952.2,951.9
2026-02-09 11:00:00+00:00,2.3,2.46,3.23,5.42,5.43,6.56,5.56,5.57,6.73,5.67,5.68,6.87,210,185,193,4.8,4.3,4.5,2.9,2.3,2.7,951.7,952.1,951.7
2026-02-09 12:00:00+00:00,2.16,2.66,3.22,5.38,6.24,6.92,5.52,6.41,7.1,5.63,6.54,7.24,224,210,195,3.8,3.7,3.8,1.5,2.2,2.0,952.1,951.4,951.6
2026-02-09 13:00:00+00:00,2.69,2.13,3.34,6.18,5.14,7.33,6.34,5.27,7.52,6.47,5.38,7.68,212,226,201,4.0,3.6,2.9,0.7,0.2,0.8,952.0,951.1,951.5
2026-02-09 14:00:00+00:00,2.89,3.08,3.77,6.39,6.35,7.9,6.55,6.51,8.1,6.69,6.65,8.27,208,204,209,4.8,3.6,3.6,1.5,0.2,0.6,951.9,951.4,951.5
2026-02-09 15:00:00+00:00,2.22,3.61,3.74,5.27,7.38,7.7,5.41,7.57,7.9,5.52,7.73,8.06,208,203,211,4.4,3.8,3.6,1.2,0.6,0.4,951.7,951.6,951.5
2026-02-09 16:00:00+00:00,2.9,3.29,3.76,6.15,6.82,7.49,6.31,7.0,7.68,6.44,7.14,7.84,205,217,214,4.3,3.3,3.3,-0.4,1.0,0.3,951.5,951.6,951.9
2026-02-09 17:00:00+00:00,3.54,2.98,4.03,7.19,6.18,7.49,7.38,6.34,7.68,7.53,6.47,7.84,206,222,214,5.4,4.0,3.6,-0.2,1.1,0.6,951.4,951.7,952.0
2026-02-09 18:00:00+00:00,2.28,2.76,3.96,4.94,5.71,7.32,5.07,5.86,7.51,5.17,5.98,7.67,217,233,211,5.6,3.6,4.4,0.6,1.0,1.0,951.2,951.3,952.0
2026-02-09 19:00:00+00:00,2.35,2.71,3.67,4.48,5.36,6.83,4.6,5.5,7.01,4.7,5.61,7.15,199,220,222,3.6,4.3,3.1,0.5,0.9,1.0,950.8,951.7,951.9
2026-02-09 20:00:00+00:00,2.82,2.26,3.24,5.01,4.59,6.07,5.14,4.71,6.23,5.24,4.81,6.36,187,217,222,4.5,4.6,4.0,0.4,0.7,0.9,950.7,951.3,951.7
2026-02-09 21:00:00+00:00,1.97,3.12,3.72,4.27,5.88,6.62,4.38,6.03,6.79,4.47,6.15,6.93,235,240,223,4.3,5.1,4.0,0.4,0.7,0.8,950.4,951.4,951.7
2026-02-09 22:00:00+00:00,3.22,3.8,4.32,6.25,6.55,7.36,6.41,6.72,7.55,6.55,6.86,7.71,262,247,234,4.6,5.6,4.6,0.7,0.6,0.6,950.2,951.6,951.7
2026-02-09 23:00:00+00:00,4.54,4.83,5.16,7.77,7.79,8.26,7.98,7.99,8.48,8.14,8.15,8.65,278,253,242,7.1,6.8,5.0,0.6,0.2,0.3,949.9,951.9,952.0
2026-02-10 00:00:00+00:00,6.94,6.39,5.53,10.74,9.57,8.75,11.02,9.82,8.98,11.24,10.03,9.17,286,263,252,9.3,10.7,9.0,0.5,0.2,0.4,950.6,952.4,952.0
2026-02-10 01:00:00+00:00,6.87,6.43,7.17,10.17,9.57,10.5,10.44,9.82,10.77,10.65,10.02,10.99,277,263,260,10.8,11.8,11.1,-0.4,-0.8,-0.1,952.7,953.7,953.5
2026-02-10 02:00:00+00:00,6.89,6.56,7.02,10.41,9.97,10.24,10.68,10.23,10.5,10.9,10.44,10.72,266,259,257,10.8,11.9,12.6,-1.2,-1.4,-1.0,954.4,955.1,954.8
2026-02-10 03:00:00+00:00,7.02,6.89,6.86,10.15,10.03,10.21,10.41,10.29,10.47,10.63,10.51,10.69,258,252,250,11.3,11.2,12.4,-1.6,-1.5,-1.1,956.0,956.6,955.9
2026-02-10 04:00:00+00:00,6.91,6.45,6.7,10.27,10.93,10.01,10.54,11.21,10.27,10.75,11.44,10.48,242,241,242,10.9,12.2,11.0,-1.6,-1.6,-1.1,957.7,957.9,957.0
2026-02-10 05:00:00+00:00,7.8,7.92,7.78,11.04,11.44,10.88,11.33,11.73,11.16,11.56,11.98,11.39,237,238,237,12.3,12.2,10.7,-1.5,-1.4,-1.2,958.5,958.8,957.8
2026-02-10 06:00:00+00:00,7.86,7.88,7.81,10.99,10.69,10.48,11.28,10.96,10.75,11.51,11.19,10.97,238,232,237,13.0,14.0,14.3,-1.1,-1.2,-1.1,959.4,959.4,958.8
2026-02-10 07:00:00+00:00,7.48,7.75,7.38,10.08,10.42,9.84,10.34,10.69,10.09,10.55,10.91,10.3,231,228,234,12.6,13.9,14.4,-0.9,-0.7,-0.7,960.0,960.1,959.5
2026-02-10 08:00:00+00:00,7.86,7.46,7.82,10.52,10.06,10.3,10.79,10.32,10.56,11.01,10.54,10.78,223,225,229,12.3,13.8,13.6,-0.8,-0.6,-0.6,960.2,960.2,959.6
2026-02-10 09:00:00+00:00,8.14,8.21,7.91,10.91,10.99,10.76,11.19,11.28,11.04,11.42,11.51,11.27,219,224,230,12.9,12.3,12.6,-0.7,-0.4,-0.3,960.2,960.4,959.6
2026-02-10 10:00:00+00:00,8.03,8.98,8.09,11.0,11.99,11.08,11.28,12.31,11.36,11.52,12.56,11.6,223,226,230,13.3,11.0,12.6,-0.5,-0.4,-0.4,960.1,960.7,959.8
2026-02-10 11:00:00+00:00,7.07,7.6,6.93,9.85,10.72,10.0,10.11,11.0,10.26,10.32,11.22,10.47,220,225,227,12.7,11.2,11.8,-0.5,-0.4,-0.5,960.0,960.6,959.7
2026-02-10 12:00:00+00:00,6.22,6.43,6.87,9.39,9.35,9.98,9.63,9.6,10.24,9.83,9.8,10.45,222,219,217,11.3,10.0,10.6,-1.0,-0.5,-0.5,959.6,959.7,960.3
2026-02-10 13:00:00+00:00,6.53,6.51,7.01,9.7,9.57,10.26,9.96,9.82,10.53,10.16,10.03,10.75,214,204,212,10.3,10.0,10.4,-1.1,-0.7,-0.7,959.5,959.6,960.2
2026-02-10 14:00:00+00:00,6.77,7.11,7.27,10.02,10.56,10.64,10.28,10.83,10.92,10.49,11.05,11.14,213,205,211,10.6,9.5,10.4,-1.1,-0.8,-0.7,959.6,959.6,960.0
2026-02-10 15:00:00+00:00,6.25,7.37,7.16,9.22,10.88,10.53,9.46,11.16,10.8,9.65,11.39,11.03,219,205,205,10.7,9.2,11.0,-1.2,-0.8,-0.7,959.3,959.3,959.2
2026-02-10 16:00:00+00:00,6.41,7.0,7.77,9.57,10.44,11.37,9.82,10.71,11.66,10.02,10.93,11.9,229,207,204,9.9,10.0,10.7,-1.3,-0.9,-0.7,959.1,958.6,958.7
2026-02-10 17:00:00+00:00,6.78,7.22,7.21,9.75,10.65,10.76,10.0,10.93,11.04,10.21,11.15,11.26,239,226,211,10.7,11.2,10.0,-2.2,-0.9,-0.7,959.0,958.2,958.4
2026-02-10 18:00:00+00:00,7.35,7.51,8.32,10.68,10.9,12.19,10.96,11.19,12.51,11.19,11.42,12.77,253,242,219,11.4,11.0,8.4,-3.7,-2.2,-0.5,959.6,958.5,958.0
2026-02-10 19:00:00+00:00,7.94,8.21,8.92,11.06,11.41,12.49,11.34,11.71,12.81,11.58,11.95,13.07,261,268,268,12.9,12.7,8.7,-6.6,-4.4,-2.1,960.5,959.5,959.0
2026-02-10 20:00:00+00:00,7.87,7.95,8.4,10.79,11.2,11.75,11.07,11.49,12.05,11.3,11.73,12.3,267,265,271,13.0,14.0,8.6,-8.7,-6.7,-6.2,961.7,960.3,960.4
2026-02-10 21:00:00+00:00,8.37,8.97,7.81,11.43,12.12,10.68,11.73,12.43,10.96,11.97,12.69,11.18,266,277,280,13.8,14.1,11.3,-11.1,-10.0,-8.8,962.6,962.0,961.4
2026-02-10 22:00:00+00:00,8.22,8.72,8.56,11.15,11.82,11.52,11.44,12.13,11.82,11.68,12.38,12.07,263,274,273,13.2,14.2,12.5,-12.7,-12.6,-11.3,963.6,963.3,963.1
2026-02-10 23:00:00+00:00,8.22,8.5,8.66,11.1,11.65,11.7,11.39,11.95,12.0,11.62,12.2,12.25,263,271,269,13.3,12.7,12.6,-13.9,-13.7,-12.3,964.5,964.0,964.2
2026-02-11 00:00:00+00:00,9.05,8.51,9.1,12.14,11.66,12.53,12.45,11.96,12.85,12.71,12.21,13.12,265,268,270,13.2,12.4,12.1,-14.5,-13.4,-13.2,965.8,965.5,965.0
2026-02-11 01:00:00+00:00,8.44,8.29,8.11,11.59,11.49,11.46,11.89,11.79,11.76,12.14,12.04,12.0,263,265,264,14.2,11.1,12.1,-14.4,-13.5,-13.4,966.4,966.6,966.3
2026-02-11 02:00:00+00:00,7.8,7.52,7.65,10.8,10.45,11.12,11.08,10.72,11.41,11.31,10.94,11.64,260,263,262,13.3,11.4,10.8,-14.7,-13.4,-13.6,967.1,967.6,967.4
2026-02-11 03:00:00+00:00,7.23,6.94,7.21,10.33,9.81,10.78,10.6,10.06,11.06,10.82,10.27,11.29,257,260,262,12.4,10.8,10.3,-15.3,-13.5,-14.2,968.1,968.5,968.4
2026-02-11 04:00:00+00:00,6.96,6.87,6.69,9.42,9.26,10.01,9.66,9.5,10.27,9.86,9.7,10.48,251,258,258,11.5,10.1,9.4,-15.5,-13.4,-14.8,969.4,969.5,969.5
2026-02-11 05:00:00+00:00,7.08,6.72,6.51,9.24,8.81,8.65,9.48,9.04,8.88,9.68,9.23,9.06,247,254,249,11.4,10.0,9.2,-15.1,-13.2,-14.6,970.3,970.3,970.5
2026-02-11 06:00:00+00:00,7.25,6.45,6.3,9.16,8.25,8.05,9.4,8.47,8.25,9.6,8.64,8.42,254,247,248,11.7,10.6,10.3,-15.3,-13.0,-14.0,971.2,970.8,971.1
2026-02-11 07:00:00+00:00,6.84,6.44,6.15,8.52,8.13,7.7,8.74,8.34,7.9,8.92,8.52,8.06,249,242,248,11.7,10.6,10.2,-14.6,-12.7,-13.8,972.1,971.7,972.0
2026-02-11 08:00:00+00:00,6.6,6.68,6.0,8.24,8.39,7.46,8.45,8.61,7.66,8.63,8.79,7.81,243,237,246,11.2,10.4,10.3,-13.8,-12.4,-13.6,972.7,972.2,972.6
2026-02-11 09:00:00+00:00,6.46,6.95,5.9,8.1,8.83,7.37,8.31,9.06,7.56,8.48,9.24,7.71,240,239,243,10.9,10.5,10.2,-13.4,-12.4,-13.4,973.2,973.0,973.3
2026-02-11 10:00:00+00:00,6.43,6.87,5.97,8.14,8.76,7.45,8.35,8.99,7.65,8.53,9.18,7.81,240,242,243,10.6,10.6,9.9,-13.1,-12.5,-13.4,973.7,973.5,973.9
2026-02-11 11:00:00+00:00,6.33,6.54,5.79,8.15,8.52,7.33,8.36,8.74,7.52,8.53,8.92,7.67,239,247,246,10.5,10.2,9.4,-13.2,-12.6,-13.5,974.4,974.3,974.5
2026-02-11 12:00:00+00:00,5.9,5.54,5.48,7.63,7.2,7.14,7.83,7.39,7.32,7.99,7.54,7.48,252,254,256,10.3,9.4,8.4,-14.2,-13.6,-13.6,975.2,975.0,975.6
2026-02-11 13:00:00+00:00,5.5,5.08,4.97,7.38,6.8,6.64,7.57,6.97,6.82,7.73,7.12,6.96,252,257,257,9.4,8.2,7.6,-14.3,-14.0,-14.2,976.0,975.8,976.5
2026-02-11 14:00:00+00:00,4.83,4.87,4.81,6.75,6.66,6.51,6.93,6.83,6.68,7.07,6.97,6.81,250,265,261,8.7,6.6,6.5,-14.3,-14.4,-14.6,976.7,976.6,977.3
2026-02-11 15:00:00+00:00,4.2,4.85,4.76,6.66,6.68,6.5,6.83,6.85,6.67,6.98,6.99,6.8,247,272,266,7.8,5.4,6.1,-14.5,-14.6,-14.8,977.3,977.3,978.0
2026-02-11 16:00:00+00:00,3.62,4.88,4.7,6.8,6.78,6.63,6.97,6.95,6.8,7.12,7.1,6.94,248,277,272,6.6,5.4,5.6,-15.5,-14.8,-15.1,977.8,977.9,978.6
2026-02-11 17:00:00+00:00,3.2,3.92,3.73,6.63,6.55,6.64,6.8,6.72,6.82,6.94,6.86,6.96,252,283,278,5.7,5.1,5.3,-16.1,-15.5,-16.1,978.3,978.4,978.9
2026-02-11 18:00:00+00:00,2.89,3.7,3.13,6.1,6.6,5.98,6.26,6.77,6.14,6.39,6.91,6.27,267,293,286,5.0,4.8,3.9,-16.6,-15.7,-16.5,978.7,978.4,979.4
2026-02-11 19:00:00+00:00,2.26,3.44,2.4,5.51,6.27,5.37,5.65,6.44,5.51,5.77,6.57,5.62,281,305,294,4.4,3.7,3.3,-17.2,-16.1,-17.5,979.1,978.8,980.0
2026-02-11 20:00:00+00:00,2.07,2.93,2.06,5.14,6.04,4.77,5.27,6.2,4.89,5.38,6.33,4.99,292,319,307,3.5,2.8,2.8,-17.6,-17.0,-18.4,979.3,979.3,980.3
2026-02-11 21:00:00+00:00,2.04,2.2,1.83,4.93,5.17,4.25,5.05,5.3,4.36,5.16,5.41,4.45,296,332,318,3.1,2.2,2.3,-17.9,-17.8,-19.2,979.6,979.8,980.5
2026-02-11 22:00:00+00:00,1.65,1.7,1.51,3.92,3.97,3.57,4.02,4.07,3.67,4.11,4.15,3.74,297,6,334,3.0,1.8,1.5,-18.5,-18.9,-19.7,980.0,980.3,980.9
2026-02-11 23:00:00+00:00,0.74,1.86,1.53,2.56,4.04,3.3,2.62,4.14,3.39,2.68,4.23,3.46,305,42,16,2.3,1.4,0.7,-18.9,-19.5,-20.2,980.2,980.8,981.2
2026-02-12 00:00:00+00:00,1.75,2.26,2.72,3.74,4.96,5.09,3.83,5.09,5.22,3.91,5.19,5.33,7,57,54,1.3,1.8,0.9,-19.5,-19.5,-20.3,980.7,980.7,981.3
2026-02-12 01:00:00+00:00,2.39,2.69,2.89,5.0,5.76,5.91,5.13,5.91,6.06,5.23,6.03,6.19,45,66,64,3.6,2.2,1.5,-20.2,-19.9,-20.5,981.1,981.0,981.6
2026-02-12 02:00:00+00:00,2.91,2.87,2.4,5.94,6.12,5.57,6.1,6.28,5.71,6.22,6.41,5.83,59,71,81,4.4,2.7,1.8,-20.1,-20.1,-20.8,981.6,981.7,982.4
2026-02-12 03:00:00+00:00,3.23,3.34,2.76,6.55,6.6,5.73,6.72,6.77,5.88,6.86,6.91,6.0,67,74,85,4.9,3.2,2.0,-19.9,-20.0,-20.9,982.1,982.2,982.9
2026-02-12 04:00:00+00:00,3.98,4.43,3.89,6.86,7.01,6.15,7.03,7.19,6.31,7.18,7.34,6.44,75,75,87,5.8,3.6,2.2,-18.6,-18.8,-19.6,982.7,983.0,983.7
2026-02-12 05:00:00+00:00,3.7,4.16,4.09,6.86,7.52,6.72,7.04,7.72,6.9,7.19,7.88,7.04,84,72,80,6.2,4.4,2.3,-17.0,-17.3,-17.9,983.1,983.1,983.6
2026-02-12 06:00:00+00:00,4.66,4.19,3.97,5.67,5.91,6.16,5.81,6.07,6.32,5.93,6.19,6.45,82,86,75,6.8,5.5,3.7,-16.1,-15.5,-15.9,983.6,983.3,983.6
2026-02-12 07:00:00+00:00,4.51,4.43,3.9,5.32,5.52,5.06,5.46,5.67,5.19,5.57,5.79,5.3,82,85,83,8.1,6.6,4.9,-15.1,-14.5,-14.7,983.5,983.3,984.0
2026-02-12 08:00:00+00:00,4.31,4.29,3.8,5.11,5.33,4.66,5.24,5.47,4.78,5.35,5.58,4.88,83,81,83,7.8,6.8,5.3,-14.3,-13.6,-13.8,983.4,983.2,983.8
2026-02-12 09:00:00+00:00,4.25,4.23,3.87,5.06,5.27,4.75,5.19,5.4,4.88,5.29,5.52,4.98,71,68,77,7.5,6.8,5.9,-13.7,-13.0,-13.4,983.0,982.8,983.5
2026-02-12 10:00:00+00:00,3.99,4.55,3.95,4.99,5.79,4.95,5.12,5.94,5.08,5.22,6.06,5.18,68,56,69,7.3,6.7,6.0,-13.4,-12.7,-13.2,982.9,982.2,983.3
2026-02-12 11:00:00+00:00,4.3,4.58,3.96,5.68,6.24,5.36,5.82,6.41,5.5,5.94,6.54,5.61,60,56,64,7.0,6.5,6.0,-13.4,-12.8,-13.5,982.4,982.0,982.9
2026-02-12 12:00:00+00:00,4.76,4.41,4.23,7.76,7.48,7.22,7.96,7.67,7.41,8.13,7.83,7.57,65,65,67,7.0,5.7,6.0,-14.6,-14.0,-14.2,982.3,981.7,982.8
2026-02-12 13:00:00+00:00,5.04,4.86,4.27,8.86,8.81,8.03,9.09,9.04,8.24,9.28,9.23,8.41,67,68,72,7.8,5.4,5.0,-15.7,-15.5,-15.8,981.6,981.2,982.6
2026-02-12 14:00:00+00:00,5.02,5.19,4.68,8.94,9.39,8.72,9.17,9.63,8.95,9.36,9.83,9.13,73,72,76,7.8,5.6,4.8,-16.0,-16.3,-16.6,981.6,981.4,982.6
2026-02-12 15:00:00+00:00,5.39,5.27,5.11,9.46,9.56,9.27,9.71,9.81,9.51,9.91,10.01,9.71,72,77,78,8.1,5.5,4.5,-16.3,-16.5,-16.9,981.4,981.6,982.5
2026-02-12 16:00:00+00:00,5.63,5.3,5.4,9.82,9.59,9.7,10.08,9.84,9.96,10.28,10.04,10.16,73,80,76,8.7,5.4,4.4,-16.2,-16.6,-16.9,980.8,981.5,981.9
2026-02-12 17:00:00+00:00,5.11,5.42,4.91,9.23,9.74,9.22,9.47,10.0,9.46,9.67,10.2,9.66,83,80,83,8.6,5.2,4.8,-16.2,-16.4,-16.7,981.1,981.1,982.0
2026-02-12 18:00:00+00:00,5.14,5.05,5.07,9.07,9.17,9.23,9.3,9.41,9.47,9.5,9.6,9.67,84,84,86,7.8,4.8,5.5,-16.8,-16.0,-16.3,981.3,980.4,981.5
