time,wind_speed_10m,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_80m,wind_speed_80m_previous_day1,wind_speed_80m_previous_day2,wind_speed_100m,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,wind_speed_120m,wind_speed_120m_previous_day1,wind_speed_120m_previous_day2,wind_direction_100m,wind_direction_100m_previous_day1,wind_direction_100m_previous_day2,wind_gusts_10m,wind_gusts_10m_previous_day1,wind_gusts_10m_previous_day2,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,surface_pressure,surface_pressure_previous_day1,surface_pressure_previous_day2
2026-02-09 00:00:00+00:00,5.72,6.02,5.81,9.85,10.19,9.91,10.11,10.46,10.17,10.32,10.67,10.38,186,190,190,9.7,8.0,7.6,-7.7,-6.4,-6.5,964.3,963.8,964.3
2026-02-09 01:00:00+00:00,5.57,5.76,5.36,9.61,9.8,9.25,9.86,10.05,9.49,10.07,10.26,9.69,186,186,188,9.8,8.6,10.2,-7.3,-6.2,-6.4,963.0,962.7,963.5
2026-02-09 02:00:00+00:00,5.25,5.4,4.81,9.1,9.2,8.49,9.33,9.43,8.71,9.53,9.63,8.89,185,185,183,9.5,9.4,10.4,-6.7,-5.9,-6.1,962.0,961.9,962.3
2026-02-09 03:00:00+00:00,5.2,5.2,4.94,8.89,8.84,8.53,9.12,9.07,8.76,9.31,9.26,8.94,184,184,178,9.1,9.5,9.7,-5.9,-5.4,-5.6,961.0,961.2,961.6
2026-02-09 04:00:00+00:00,4.9,5.05,4.59,8.41,8.54,8.0,8.63,8.76,8.21,8.81,8.94,8.38,185,183,178,9.0,8.7,8.9,-5.5,-5.1,-5.1,960.3,960.3,960.8
2026-02-09 05:00:00+00:00,4.95,5.15,4.71,8.48,8.63,8.09,8.7,8.85,8.3,8.88,9.03,8.47,186,186,181,8.6,8.8,9.9,-5.1,-4.6,-4.8,959.3,959.6,960.0
2026-02-09 06:00:00+00:00,5.25,5.05,5.01,8.76,8.43,8.46,8.99,8.65,8.68,9.17,8.83,8.86,185,186,188,9.0,9.3,10.2,-4.2,-3.9,-4.2,958.3,958.8,959.1
2026-02-09 07:00:00+00:00,5.56,5.26,5.13,8.99,8.62,8.49,9.22,8.84,8.71,9.41,9.02,8.89,187,188,189,9.7,10.0,9.9,-3.3,-3.1,-3.4,957.3,958.2,958.4
2026-02-09 08:00:00+00:00,5.48,5.39,5.24,8.56,8.58,8.52,8.78,8.8,8.74,8.96,8.99,8.93,193,194,195,10.1,10.3,9.4,-2.2,-2.2,-2.7,956.6,957.4,957.8
2026-02-09 09:00:00+00:00,5.36,5.39,5.23,8.37,8.51,8.19,8.59,8.73,8.4,8.76,8.91,8.57,199,199,197,9.8,10.0,9.2,-1.6,-1.7,-2.2,955.9,956.8,957.1
2026-02-09 10:00:00+00:00,5.17,5.17,5.03,8.66,8.4,8.54,8.89,8.62,8.76,9.07,8.8,8.94,200,198,199,9.5,9.9,9.0,-1.5,-1.6,-1.9,955.3,956.0,956.5
2026-02-09 11:00:00+00:00,5.1,5.14,5.0,8.33,8.48,8.11,8.55,8.7,8.32,8.72,8.88,8.49,205,197,198,9.3,8.9,8.9,-0.8,-1.4,-1.3,955.0,955.7,956.0
