time,wind_speed_100m,wind_speed_10m,temperature_2m
2025-10-01 00:00:00,9.77,5.7,13.4
2025-10-01 01:00:00,10.42,6.57,13.2
2025-10-01 02:00:00,8.81,5.64,13.1
2025-10-01 03:00:00,9.43,6.42,13.4
2025-10-01 04:00:00,10.52,7.51,14.3
2025-10-01 05:00:00,13.52,9.62,13.7
2025-10-01 06:00:00,16.05,11.21,11.0
2025-10-01 07:00:00,14.82,10.46,10.5
2025-10-01 08:00:00,13.07,9.2,8.5
2025-10-01 09:00:00,12.95,9.16,8.3
2025-10-01 10:00:00,12.94,9.06,7.5
2025-10-01 11:00:00,11.83,8.16,6.3
2025-10-01 12:00:00,11.72,8.1,4.6
2025-10-01 13:00:00,9.87,6.81,3.9
2025-10-01 14:00:00,9.86,6.72,3.5
2025-10-01 15:00:00,9.87,6.44,3.1
2025-10-01 16:00:00,9.48,6.11,3.6
2025-10-01 17:00:00,8.81,5.78,4.2
2025-10-01 18:00:00,8.25,5.3,4.3
2025-10-01 19:00:00,7.22,4.34,4.7
2025-10-01 20:00:00,6.78,4.11,5.2
2025-10-01 21:00:00,6.39,3.97,5.5
2025-10-01 22:00:00,5.09,2.94,5.4
2025-10-01 23:00:00,3.22,1.27,5.1
2025-10-02 00:00:00,2.12,0.86,4.4
2025-10-02 01:00:00,1.19,0.7,4.3
2025-10-02 02:00:00,1.53,0.93,4.8
2025-10-02 03:00:00,1.52,1.21,6.0
2025-10-02 04:00:00,3.43,2.7,7.7
2025-10-02 05:00:00,5.22,4.15,9.5
2025-10-02 06:00:00,6.67,5.27,10.9
2025-10-02 07:00:00,6.8,5.32,12.1
2025-10-02 08:00:00,6.76,5.32,12.8
2025-10-02 09:00:00,6.77,5.27,13.4
2025-10-02 10:00:00,7.23,5.52,13.3
2025-10-02 11:00:00,7.27,5.27,12.7
2025-10-02 12:00:00,7.42,3.92,11.5
2025-10-02 13:00:00,6.37,2.61,10.0
2025-10-02 14:00:00,4.53,1.66,8.5
2025-10-02 15:00:00,2.8,0.9,7.8
2025-10-02 16:00:00,1.82,0.57,7.3
2025-10-02 17:00:00,1.38,0.65,6.8
2025-10-02 18:00:00,0.81,0.97,7.1
2025-10-02 19:00:00,1.39,0.78,5.7
2025-10-02 20:00:00,2.83,1.03,5.5
2025-10-02 21:00:00,2.26,0.89,6.2
2025-10-02 22:00:00,1.44,0.74,6.8
2025-10-02 23:00:00,1.35,0.71,7.2
2025-10-03 00:00:00,2.06,1.32,7.5
2025-10-03 01:00:00,2.98,1.99,7.3
2025-10-03 02:00:00,3.46,2.48,8.2
2025-10-03 03:00:00,3.31,2.07,9.5
2025-10-03 04:00:00,2.11,1.7,10.9
2025-10-03 05:00:00,2.13,1.77,12.2
2025-10-03 06:00:00,2.64,2.14,14.2
2025-10-03 07:00:00,3.26,2.66,15.1
2025-10-03 08:00:00,3.86,3.11,16.1
2025-10-03 09:00:00,4.25,3.4,16.3
2025-10-03 10:00:00,4.71,3.66,16.0
2025-10-03 11:00:00,5.57,4.06,15.0
2025-10-03 12:00:00,5.88,2.89,13.2
2025-10-03 13:00:00,5.11,2.3,11.2
2025-10-03 14:00:00,4.86,2.44,10.1
2025-10-03 15:00:00,4.33,2.04,9.6
2025-10-03 16:00:00,3.47,1.85,9.3
2025-10-03 17:00:00,2.36,1.52,8.6
2025-10-03 18:00:00,1.31,1.33,7.1
2025-10-03 19:00:00,1.61,1.18,6.4
2025-10-03 20:00:00,3.06,1.56,6.6
2025-10-03 21:00:00,5.11,2.18,6.8
2025-10-03 22:00:00,5.78,2.53,6.6
2025-10-03 23:00:00,6.16,2.73,6.1
2025-10-04 00:00:00,6.05,2.84,5.5
2025-10-04 01:00:00,6.2,2.92,4.6
2025-10-04 02:00:00,6.08,3.45,6.5
2025-10-04 03:00:00,5.75,3.58,9.5
2025-10-04 04:00:00,6.61,4.93,11.6
2025-10-04 05:00:00,7.29,5.56,13.3
2025-10-04 06:00:00,7.09,5.49,15.5
2025-10-04 07:00:00,6.25,4.99,16.3
2025-10-04 08:00:00,4.56,3.75,16.8
2025-10-04 09:00:00,2.02,1.78,17.1
2025-10-04 10:00:00,1.61,1.28,17.6
2025-10-04 11:00:00,4.24,2.96,17.4
2025-10-04 12:00:00,6.9,3.27,14.6
2025-10-04 13:00:00,7.26,3.47,12.6
2025-10-04 14:00:00,7.45,3.71,11.8
2025-10-04 15:00:00,8.01,4.21,11.4
2025-10-04 16:00:00,7.72,4.0,11.2
2025-10-04 17:00:00,7.39,3.77,10.7
2025-10-04 18:00:00,7.23,3.52,10.2
2025-10-04 19:00:00,8.08,4.12,9.8
2025-10-04 20:00:00,9.13,4.84,9.8
2025-10-04 21:00:00,9.54,5.2,9.5
2025-10-04 22:00:00,9.22,4.96,9.1
2025-10-04 23:00:00,8.76,4.6,8.7
2025-10-05 00:00:00,8.05,3.91,8.4
2025-10-05 01:00:00,8.18,4.11,8.3
2025-10-05 02:00:00,7.91,4.55,9.5
2025-10-05 03:00:00,7.25,4.97,11.0
2025-10-05 04:00:00,7.9,5.82,12.4
2025-10-05 05:00:00,8.58,6.42,13.7
2025-10-05 06:00:00,10.06,7.51,14.4
2025-10-05 07:00:00,9.95,7.4,14.7
2025-10-05 08:00:00,10.05,7.51,14.8
2025-10-05 09:00:00,10.51,7.71,14.5
2025-10-05 10:00:00,10.7,7.76,13.8
2025-10-05 11:00:00,10.27,7.19,12.9
2025-10-05 12:00:00,10.35,6.33,11.8
2025-10-05 13:00:00,9.25,5.4,10.3
2025-10-05 14:00:00,9.11,5.15,9.1
2025-10-05 15:00:00,9.24,5.24,8.1
2025-10-05 16:00:00,9.21,5.2,7.4
2025-10-05 17:00:00,8.79,4.97,6.8
2025-10-05 18:00:00,7.15,3.61,6.2
2025-10-05 19:00:00,5.45,2.06,5.0
2025-10-05 20:00:00,4.1,1.14,4.0
2025-10-05 21:00:00,3.61,1.32,2.9
2025-10-05 22:00:00,3.3,0.73,2.0
2025-10-05 23:00:00,2.71,0.54,1.8
2025-10-06 00:00:00,3.1,0.95,1.7
2025-10-06 01:00:00,2.52,0.7,1.3
2025-10-06 02:00:00,1.02,0.35,3.1
2025-10-06 03:00:00,1.59,1.12,5.0
2025-10-06 04:00:00,1.7,1.49,6.6
2025-10-06 05:00:00,1.76,1.51,8.2
2025-10-06 06:00:00,1.5,1.39,10.4
2025-10-06 07:00:00,2.32,2.01,11.6
2025-10-06 08:00:00,2.3,1.98,12.4
2025-10-06 09:00:00,1.95,1.7,13.0
2025-10-06 10:00:00,0.97,0.89,13.3
2025-10-06 11:00:00,1.11,0.89,13.3
2025-10-06 12:00:00,3.86,1.75,10.9
2025-10-06 13:00:00,4.05,1.71,8.5
2025-10-06 14:00:00,3.95,1.57,7.3
2025-10-06 15:00:00,3.68,1.61,6.7
2025-10-06 16:00:00,2.49,0.87,6.4
2025-10-06 17:00:00,1.87,0.4,6.6
2025-10-06 18:00:00,0.89,0.05,7.5
2025-10-06 19:00:00,1.23,0.3,6.5
2025-10-06 20:00:00,1.06,0.46,5.6
2025-10-06 21:00:00,1.34,0.5,5.1
2025-10-06 22:00:00,2.21,0.87,4.4
2025-10-06 23:00:00,2.86,1.01,4.0
2025-10-07 00:00:00,3.69,1.28,3.8
2025-10-07 01:00:00,4.24,1.49,3.6
2025-10-07 02:00:00,4.19,1.7,5.6
2025-10-07 03:00:00,4.17,2.29,8.9
2025-10-07 04:00:00,5.02,3.76,10.8
2025-10-07 05:00:00,6.47,4.99,12.9
2025-10-07 06:00:00,7.06,5.44,15.5
2025-10-07 07:00:00,6.68,5.27,16.3
2025-10-07 08:00:00,5.83,4.56,16.8
2025-10-07 09:00:00,4.03,3.25,17.0
2025-10-07 10:00:00,1.7,1.45,17.0
2025-10-07 11:00:00,1.27,1.05,16.4
2025-10-07 12:00:00,3.47,1.67,13.6
2025-10-07 13:00:00,4.92,2.22,11.3
2025-10-07 14:00:00,4.91,2.15,10.6
2025-10-07 15:00:00,4.99,2.06,9.9
2025-10-07 16:00:00,5.38,2.13,9.5
2025-10-07 17:00:00,4.65,1.86,8.8
2025-10-07 18:00:00,3.61,1.6,8.8
2025-10-07 19:00:00,1.43,0.52,7.2
2025-10-07 20:00:00,0.7,0.18,6.9
2025-10-07 21:00:00,1.21,0.05,7.3
2025-10-07 22:00:00,1.61,0.16,6.8
2025-10-07 23:00:00,2.0,0.32,6.1
2025-10-08 00:00:00,2.64,1.1,5.8
2025-10-08 01:00:00,2.44,0.67,5.5
2025-10-08 02:00:00,2.51,0.6,6.5
2025-10-08 03:00:00,2.8,1.17,8.8
2025-10-08 04:00:00,1.91,1.56,10.5
2025-10-08 05:00:00,1.99,1.58,12.4
2025-10-08 06:00:00,2.82,2.3,14.3
2025-10-08 07:00:00,3.73,3.0,15.6
2025-10-08 08:00:00,4.75,3.81,16.3
2025-10-08 09:00:00,5.81,4.56,16.1
2025-10-08 10:00:00,6.61,5.01,15.7
2025-10-08 11:00:00,7.18,5.01,14.9
2025-10-08 12:00:00,7.64,4.0,13.8
2025-10-08 13:00:00,6.62,3.24,12.3
2025-10-08 14:00:00,6.96,3.34,11.5
2025-10-08 15:00:00,8.53,4.45,11.4
2025-10-08 16:00:00,8.92,4.75,11.0
2025-10-08 17:00:00,8.55,4.47,10.5
2025-10-08 18:00:00,7.15,3.63,10.2
2025-10-08 19:00:00,5.21,2.07,7.8
2025-10-08 20:00:00,3.83,1.03,6.7
2025-10-08 21:00:00,3.6,0.75,6.3
2025-10-08 22:00:00,3.36,0.57,5.2
2025-10-08 23:00:00,2.9,0.45,4.8
2025-10-09 00:00:00,2.67,0.5,4.5
2025-10-09 01:00:00,1.9,0.28,4.0
2025-10-09 02:00:00,1.38,0.5,4.9
2025-10-09 03:00:00,0.87,0.72,7.2
2025-10-09 04:00:00,0.99,0.88,9.1
2025-10-09 05:00:00,1.56,1.32,11.2
2025-10-09 06:00:00,2.29,1.96,13.6
2025-10-09 07:00:00,2.16,1.84,15.0
2025-10-09 08:00:00,2.73,2.22,16.0
2025-10-09 09:00:00,3.52,2.81,16.4
2025-10-09 10:00:00,4.57,3.61,16.1
2025-10-09 11:00:00,4.75,3.54,15.2
2025-10-09 12:00:00,5.19,2.44,13.4
2025-10-09 13:00:00,4.44,1.9,11.2
2025-10-09 14:00:00,3.82,1.55,9.9
2025-10-09 15:00:00,3.91,1.57,9.4
2025-10-09 16:00:00,3.92,1.73,9.1
2025-10-09 17:00:00,2.91,1.11,8.5
2025-10-09 18:00:00,1.22,0.3,7.5
2025-10-09 19:00:00,1.65,0.25,7.3
2025-10-09 20:00:00,1.84,0.56,6.7
2025-10-09 21:00:00,1.45,0.54,6.5
2025-10-09 22:00:00,1.38,0.54,6.1
2025-10-09 23:00:00,1.3,0.32,5.6
2025-10-10 00:00:00,2.75,0.79,4.6
2025-10-10 01:00:00,2.55,0.39,4.0
2025-10-10 02:00:00,1.44,0.25,5.4
2025-10-10 03:00:00,1.74,1.66,7.9
2025-10-10 04:00:00,1.83,1.61,9.7
2025-10-10 05:00:00,1.56,1.38,11.5
2025-10-10 06:00:00,1.31,1.16,13.6
2025-10-10 07:00:00,1.38,1.21,15.3
2025-10-10 08:00:00,2.0,1.61,16.7
2025-10-10 09:00:00,4.45,3.55,17.3
2025-10-10 10:00:00,6.8,5.14,16.7
2025-10-10 11:00:00,7.63,5.39,15.7
2025-10-10 12:00:00,7.98,4.57,14.4
2025-10-10 13:00:00,6.91,3.55,12.6
2025-10-10 14:00:00,7.0,3.57,11.6
2025-10-10 15:00:00,7.8,4.19,11.0
2025-10-10 16:00:00,8.0,4.37,10.6
2025-10-10 17:00:00,7.51,4.07,10.1
2025-10-10 18:00:00,6.22,3.41,9.5
2025-10-10 19:00:00,4.88,2.28,7.9
2025-10-10 20:00:00,3.49,1.45,6.7
2025-10-10 21:00:00,2.38,0.7,6.1
2025-10-10 22:00:00,1.69,0.16,6.0
2025-10-10 23:00:00,1.45,0.35,5.8
2025-10-11 00:00:00,4.47,2.03,4.7
2025-10-11 01:00:00,5.76,2.0,3.8
2025-10-11 02:00:00,6.11,2.65,5.6
2025-10-11 03:00:00,6.85,3.54,8.8
2025-10-11 04:00:00,6.91,5.03,11.0
