time,wind_speed_100m,wind_direction_100m,temperature_2m,surface_pressure
2025-01-01 00:00:00+00:00,2.06,162,-0.7,980.3
2025-01-01 01:00:00+00:00,2.23,164,-1.1,980.6
2025-01-01 02:00:00+00:00,1.58,162,-0.9,980.1
2025-01-01 03:00:00+00:00,1.35,138,-1.1,980.0
2025-01-01 04:00:00+00:00,1.85,128,-1.1,980.2
2025-01-01 05:00:00+00:00,1.64,128,0.4,980.5
2025-01-01 06:00:00+00:00,1.54,126,0.4,980.3
2025-01-01 07:00:00+00:00,1.27,135,0.0,979.9
2025-01-01 08:00:00+00:00,0.97,159,0.3,979.7
2025-01-01 09:00:00+00:00,0.68,163,0.3,980.0
2025-01-01 10:00:00+00:00,1.39,120,-0.2,980.2
2025-01-01 11:00:00+00:00,2.69,112,-1.1,979.8
2025-01-01 12:00:00+00:00,3.69,126,-0.5,980.0
2025-01-01 13:00:00+00:00,3.51,123,-0.2,980.3
2025-01-01 14:00:00+00:00,3.51,123,-1.0,980.0
2025-01-01 15:00:00+00:00,4.0,127,-0.7,980.0
2025-01-01 16:00:00+00:00,4.5,127,-2.0,979.3
2025-01-01 17:00:00+00:00,4.88,125,-3.0,978.9
2025-01-01 18:00:00+00:00,4.77,123,-3.0,978.9
2025-01-01 19:00:00+00:00,4.18,122,-4.3,978.4
2025-01-01 20:00:00+00:00,3.06,116,-3.5,978.3
2025-01-01 21:00:00+00:00,1.82,111,-3.6,978.2
2025-01-01 22:00:00+00:00,2.39,127,-4.2,979.3
2025-01-01 23:00:00+00:00,2.34,138,-4.9,978.0
2025-01-02 00:00:00+00:00,3.12,168,-6.8,978.1
2025-01-02 01:00:00+00:00,3.56,191,-6.4,978.6
2025-01-02 02:00:00+00:00,3.13,209,-5.4,978.8
2025-01-02 03:00:00+00:00,3.67,206,-4.1,979.3
2025-01-02 04:00:00+00:00,4.9,200,-3.4,979.9
2025-01-02 05:00:00+00:00,5.39,205,-0.7,980.5
2025-01-02 06:00:00+00:00,5.47,216,-0.5,980.9
2025-01-02 07:00:00+00:00,6.08,225,-0.4,980.3
2025-01-02 08:00:00+00:00,6.41,228,0.4,980.3
2025-01-02 09:00:00+00:00,7.0,235,1.1,981.0
2025-01-02 10:00:00+00:00,7.51,239,-0.2,981.9
2025-01-02 11:00:00+00:00,7.42,243,0.3,982.7
2025-01-02 12:00:00+00:00,6.67,235,0.2,983.0
2025-01-02 13:00:00+00:00,6.25,230,0.1,983.7
2025-01-02 14:00:00+00:00,6.38,229,-0.8,983.4
2025-01-02 15:00:00+00:00,6.25,230,-0.7,983.2
2025-01-02 16:00:00+00:00,5.93,231,-0.6,983.2
2025-01-02 17:00:00+00:00,5.59,232,-0.6,983.3
2025-01-02 18:00:00+00:00,5.31,228,-0.3,983.3
2025-01-02 19:00:00+00:00,5.1,227,-0.1,983.3
2025-01-02 20:00:00+00:00,4.76,231,0.0,983.0
2025-01-02 21:00:00+00:00,4.34,232,0.0,983.3
2025-01-02 22:00:00+00:00,3.91,230,-0.6,984.1
2025-01-02 23:00:00+00:00,3.37,229,-0.7,983.7
2025-01-03 00:00:00+00:00,3.57,217,-0.7,984.0
2025-01-03 01:00:00+00:00,3.98,215,-0.7,984.4
2025-01-03 02:00:00+00:00,4.15,221,0.1,984.4
2025-01-03 03:00:00+00:00,4.43,221,0.1,984.7
2025-01-03 04:00:00+00:00,4.78,223,-0.1,985.0
2025-01-03 05:00:00+00:00,4.85,229,1.6,985.7
2025-01-03 06:00:00+00:00,4.68,229,1.1,985.8
2025-01-03 07:00:00+00:00,4.67,222,0.9,985.2
2025-01-03 08:00:00+00:00,4.55,216,2.2,985.0
2025-01-03 09:00:00+00:00,3.43,214,1.6,985.2
2025-01-03 10:00:00+00:00,3.33,188,0.5,985.6
2025-01-03 11:00:00+00:00,3.88,165,0.4,985.5
2025-01-03 12:00:00+00:00,4.63,155,1.0,985.5
2025-01-03 13:00:00+00:00,5.31,150,1.2,985.3
2025-01-03 14:00:00+00:00,5.44,141,0.1,985.0
2025-01-03 15:00:00+00:00,5.22,130,-0.5,984.4
2025-01-03 16:00:00+00:00,5.3,122,-2.3,983.7
2025-01-03 17:00:00+00:00,5.17,110,-3.2,983.5
2025-01-03 18:00:00+00:00,5.52,102,-4.2,983.2
2025-01-03 19:00:00+00:00,5.9,103,-4.8,983.0
2025-01-03 20:00:00+00:00,5.88,104,-6.8,982.1
2025-01-03 21:00:00+00:00,5.69,103,-6.5,982.0
2025-01-03 22:00:00+00:00,5.81,98,-8.8,981.1
2025-01-03 23:00:00+00:00,6.0,97,-9.0,980.5
2025-01-04 00:00:00+00:00,5.71,98,-10.0,980.1
2025-01-04 01:00:00+00:00,5.17,96,-10.5,979.7
2025-01-04 02:00:00+00:00,4.95,92,-10.7,979.4
2025-01-04 03:00:00+00:00,4.75,89,-10.5,979.5
2025-01-04 04:00:00+00:00,4.55,88,-10.3,979.3
2025-01-04 05:00:00+00:00,3.87,85,-6.2,979.4
2025-01-04 06:00:00+00:00,3.48,78,-5.6,979.0
2025-01-04 07:00:00+00:00,3.4,70,-5.4,978.0
2025-01-04 08:00:00+00:00,3.42,63,-4.3,977.4
2025-01-04 09:00:00+00:00,3.37,58,-4.1,976.7
2025-01-04 10:00:00+00:00,3.47,60,-6.7,976.4
2025-01-04 11:00:00+00:00,3.54,57,-8.1,975.4
2025-01-04 12:00:00+00:00,3.73,58,-9.0,975.1
2025-01-04 13:00:00+00:00,3.96,64,-9.6,974.5
2025-01-04 14:00:00+00:00,4.79,67,-11.6,973.5
2025-01-04 15:00:00+00:00,5.68,70,-11.0,973.3
2025-01-04 16:00:00+00:00,5.67,74,-10.8,973.1
2025-01-04 17:00:00+00:00,5.13,80,-10.5,973.3
2025-01-04 18:00:00+00:00,4.47,85,-8.9,973.8
2025-01-04 19:00:00+00:00,3.75,88,-7.7,973.8
2025-01-04 20:00:00+00:00,2.79,99,-7.6,974.0
2025-01-04 21:00:00+00:00,1.75,121,-7.9,973.9
2025-01-04 22:00:00+00:00,1.26,198,-7.7,975.0
2025-01-04 23:00:00+00:00,3.31,232,-11.7,975.0
2025-01-05 00:00:00+00:00,5.01,244,-10.6,975.8
2025-01-05 01:00:00+00:00,7.53,237,-10.8,977.4
2025-01-05 02:00:00+00:00,8.2,234,-10.3,978.3
2025-01-05 03:00:00+00:00,8.28,233,-10.1,979.4
2025-01-05 04:00:00+00:00,7.57,235,-9.5,980.1
2025-01-05 05:00:00+00:00,6.65,234,-7.3,980.7
2025-01-05 06:00:00+00:00,5.61,231,-7.0,980.9
2025-01-05 07:00:00+00:00,4.7,235,-6.9,980.6
2025-01-05 08:00:00+00:00,3.8,243,-6.1,980.5
2025-01-05 09:00:00+00:00,2.91,251,-6.0,980.7
2025-01-05 10:00:00+00:00,2.72,257,-6.3,981.6
2025-01-05 11:00:00+00:00,2.2,267,-6.0,982.0
2025-01-05 12:00:00+00:00,1.38,283,-5.9,982.2
2025-01-05 13:00:00+00:00,0.99,319,-5.7,982.4
2025-01-05 14:00:00+00:00,0.71,315,-5.7,982.6
2025-01-05 15:00:00+00:00,0.81,313,-6.6,982.5
2025-01-05 16:00:00+00:00,1.15,342,-6.6,982.7
2025-01-05 17:00:00+00:00,1.5,4,-7.3,982.5
2025-01-05 18:00:00+00:00,1.73,10,-7.5,982.5
2025-01-05 19:00:00+00:00,1.52,17,-7.1,982.4
2025-01-05 20:00:00+00:00,1.35,358,-7.1,982.6
2025-01-05 21:00:00+00:00,1.64,340,-7.0,982.9
2025-01-05 22:00:00+00:00,1.05,335,-7.9,983.9
2025-01-05 23:00:00+00:00,0.69,300,-7.7,984.1
2025-01-06 00:00:00+00:00,1.26,353,-8.0,984.0
2025-01-06 01:00:00+00:00,1.94,46,-7.7,984.2
2025-01-06 02:00:00+00:00,1.89,78,-8.4,984.1
2025-01-06 03:00:00+00:00,1.11,126,-9.7,984.7
2025-01-06 04:00:00+00:00,0.27,248,-11.0,984.9
2025-01-06 05:00:00+00:00,0.46,311,-8.6,985.4
2025-01-06 06:00:00+00:00,0.4,7,-8.8,985.3
2025-01-06 07:00:00+00:00,0.96,39,-8.6,985.3
2025-01-06 08:00:00+00:00,1.24,50,-7.4,985.0
2025-01-06 09:00:00+00:00,1.19,68,-7.6,985.1
2025-01-06 10:00:00+00:00,1.43,61,-8.5,985.5
2025-01-06 11:00:00+00:00,2.35,114,-9.3,985.5
2025-01-06 12:00:00+00:00,2.46,117,-9.0,985.6
2025-01-06 13:00:00+00:00,2.64,115,-10.2,985.3
2025-01-06 14:00:00+00:00,1.86,126,-10.5,985.6
2025-01-06 15:00:00+00:00,0.76,82,-10.5,985.7
2025-01-06 16:00:00+00:00,1.44,56,-10.0,985.5
2025-01-06 17:00:00+00:00,2.15,90,-9.3,985.3
2025-01-06 18:00:00+00:00,2.63,111,-8.4,985.3
2025-01-06 19:00:00+00:00,2.62,119,-8.3,984.7
2025-01-06 20:00:00+00:00,2.39,110,-8.0,984.8
2025-01-06 21:00:00+00:00,2.74,99,-8.2,984.7
2025-01-06 22:00:00+00:00,3.25,104,-7.9,984.9
2025-01-06 23:00:00+00:00,3.65,99,-7.9,984.3
2025-01-07 00:00:00+00:00,3.67,95,-8.3,983.9
2025-01-07 01:00:00+00:00,3.68,97,-8.0,984.0
2025-01-07 02:00:00+00:00,4.17,104,-7.6,984.0
2025-01-07 03:00:00+00:00,4.67,106,-7.5,984.0
2025-01-07 04:00:00+00:00,4.94,103,-6.9,983.4
2025-01-07 05:00:00+00:00,5.22,99,-5.3,983.2
2025-01-07 06:00:00+00:00,5.44,97,-5.6,982.4
2025-01-07 07:00:00+00:00,5.11,93,-5.6,981.4
2025-01-07 08:00:00+00:00,5.3,92,-4.8,980.6
2025-01-07 09:00:00+00:00,5.41,94,-4.7,980.1
2025-01-07 10:00:00+00:00,5.32,99,-6.9,979.6
2025-01-07 11:00:00+00:00,4.66,93,-8.8,978.8
2025-01-07 12:00:00+00:00,5.1,91,-9.6,979.1
2025-01-07 13:00:00+00:00,5.21,99,-9.8,978.6
2025-01-07 14:00:00+00:00,5.25,101,-10.5,977.9
2025-01-07 15:00:00+00:00,5.52,102,-9.7,977.7
2025-01-07 16:00:00+00:00,5.4,106,-9.0,977.9
2025-01-07 17:00:00+00:00,5.0,108,-9.6,977.4
2025-01-07 18:00:00+00:00,4.59,108,-9.4,977.8
2025-01-07 19:00:00+00:00,4.19,113,-9.2,977.6
2025-01-07 20:00:00+00:00,3.64,117,-8.6,978.0
2025-01-07 21:00:00+00:00,3.23,125,-6.9,978.8
2025-01-07 22:00:00+00:00,4.17,157,-6.8,979.7
2025-01-07 23:00:00+00:00,5.01,192,-6.2,979.6
2025-01-08 00:00:00+00:00,7.32,226,-4.8,980.9
2025-01-08 01:00:00+00:00,8.78,241,-2.8,981.8
2025-01-08 02:00:00+00:00,8.39,248,-0.9,982.6
2025-01-08 03:00:00+00:00,7.83,252,-0.7,983.6
2025-01-08 04:00:00+00:00,7.86,254,-0.7,984.1
2025-01-08 05:00:00+00:00,8.87,259,0.3,985.2
2025-01-08 06:00:00+00:00,10.01,261,-0.1,985.6
2025-01-08 07:00:00+00:00,10.55,260,-0.6,986.1
2025-01-08 08:00:00+00:00,10.43,258,-0.6,986.5
2025-01-08 09:00:00+00:00,10.4,256,-1.0,987.0
2025-01-08 10:00:00+00:00,9.13,253,-2.5,987.9
2025-01-08 11:00:00+00:00,9.2,254,-2.5,989.1
2025-01-08 12:00:00+00:00,9.59,249,-2.3,990.1
2025-01-08 13:00:00+00:00,10.56,246,-2.5,991.2
2025-01-08 14:00:00+00:00,11.05,247,-3.0,991.7
2025-01-08 15:00:00+00:00,11.12,249,-3.3,992.7
2025-01-08 16:00:00+00:00,11.08,249,-3.2,993.4
2025-01-08 17:00:00+00:00,11.37,249,-3.6,993.7
2025-01-08 18:00:00+00:00,11.7,250,-3.7,994.4
2025-01-08 19:00:00+00:00,11.83,251,-4.0,995.0
2025-01-08 20:00:00+00:00,11.64,251,-5.0,995.7
2025-01-08 21:00:00+00:00,11.33,249,-5.1,996.3
2025-01-08 22:00:00+00:00,11.38,249,-6.0,997.3
2025-01-08 23:00:00+00:00,10.94,251,-5.9,997.3
2025-01-09 00:00:00+00:00,10.48,251,-6.2,997.4
2025-01-09 01:00:00+00:00,9.72,252,-5.8,998.5
2025-01-09 02:00:00+00:00,8.98,253,-7.1,998.8
2025-01-09 03:00:00+00:00,8.37,250,-7.3,999.8
2025-01-09 04:00:00+00:00,7.91,249,-7.7,1000.1
2025-01-09 05:00:00+00:00,7.04,251,-6.2,1000.8
2025-01-09 06:00:00+00:00,6.39,254,-6.7,1000.8
2025-01-09 07:00:00+00:00,5.4,254,-6.7,1000.5
2025-01-09 08:00:00+00:00,4.6,256,-6.2,1000.5
2025-01-09 09:00:00+00:00,3.87,265,-6.1,1000.4
2025-01-09 10:00:00+00:00,2.38,248,-8.5,1000.9
2025-01-09 11:00:00+00:00,1.39,210,-8.4,1000.8
2025-01-09 12:00:00+00:00,1.46,149,-7.5,1000.7
2025-01-09 13:00:00+00:00,1.62,112,-7.7,1000.9
2025-01-09 14:00:00+00:00,2.49,80,-8.6,1000.1
2025-01-09 15:00:00+00:00,4.02,69,-10.3,1000.3
2025-01-09 16:00:00+00:00,5.4,74,-10.7,999.8
2025-01-09 17:00:00+00:00,6.11,86,-10.8,999.7
2025-01-09 18:00:00+00:00,6.1,90,-10.4,999.0
2025-01-09 19:00:00+00:00,6.16,87,-10.5,998.4
2025-01-09 20:00:00+00:00,6.28,84,-11.0,997.9
2025-01-09 21:00:00+00:00,6.3,83,-11.9,997.4
2025-01-09 22:00:00+00:00,6.22,85,-13.7,996.6
2025-01-09 23:00:00+00:00,6.51,87,-14.1,996.0
2025-01-10 00:00:00+00:00,6.59,83,-14.2,995.6
2025-01-10 01:00:00+00:00,6.78,81,-14.8,995.2
2025-01-10 02:00:00+00:00,6.66,77,-15.5,994.6
2025-01-10 03:00:00+00:00,6.6,78,-15.2,994.3
2025-01-10 04:00:00+00:00,6.42,79,-13.7,994.0
2025-01-10 05:00:00+00:00,6.16,79,-10.3,993.8
2025-01-10 06:00:00+00:00,5.99,75,-9.1,993.2
2025-01-10 07:00:00+00:00,5.87,71,-9.0,992.3
2025-01-10 08:00:00+00:00,5.76,70,-7.8,991.5
2025-01-10 09:00:00+00:00,5.75,69,-7.8,990.6
2025-01-10 10:00:00+00:00,6.14,71,-10.2,989.9
2025-01-10 11:00:00+00:00,6.48,78,-11.0,988.7
2025-01-10 12:00:00+00:00,7.19,81,-11.3,987.9
2025-01-10 13:00:00+00:00,7.34,84,-11.3,987.5
2025-01-10 14:00:00+00:00,7.66,88,-12.8,986.2
2025-01-10 15:00:00+00:00,7.81,87,-12.6,985.7
2025-01-10 16:00:00+00:00,7.46,83,-12.4,985.3
2025-01-10 17:00:00+00:00,7.29,84,-12.5,984.7
2025-01-10 18:00:00+00:00,7.15,92,-12.7,984.3
