hour,lead_day,n,mae,bias,coverage_pct,below_p10_pct,above_p90_pct,mean_width,mean_actual,absolute_error_sum,p90_absolute_error,rmse,row_share_pct,error_share_pct
0,1,122,0.14332108278189384,0.017645307326273122,85.24590163934425,10.655737704918032,4.098360655737705,0.4508693608844936,0.3762704918032787,17.48517209939105,0.34147981445921355,0.19158564959301613,2.073419442556084,1.7414725757995697
0,2,122,0.1639172323389928,0.0358646815413367,83.60655737704919,11.475409836065573,4.918032786885246,0.4893879498773423,0.3762704918032787,19.997902345357122,0.37423881929812136,0.22338396723193352,2.073419442556084,1.9917332417431677
1,1,122,0.1565908085081211,0.03241868985594445,81.9672131147541,13.114754098360656,4.918032786885246,0.45926601451642274,0.3522677595628415,19.104078637990774,0.3440871514610149,0.20842228815470662,2.073419442556084,1.9027109853347104
1,2,122,0.18070269874802616,0.058816042878977695,86.88524590163934,9.836065573770492,3.278688524590164,0.4913266808345932,0.3522677595628415,22.045729247259192,0.3757699973451955,0.22770690514693612,2.073419442556084,2.195690879070126
2,1,122,0.1513812982699112,0.0014591390835460912,78.68852459016394,12.295081967213115,9.01639344262295,0.44619056890252023,0.36184426229508193,18.468518388929166,0.3692432078162002,0.20347508981574614,2.073419442556084,1.8394110225023352
2,2,122,0.1801126045477576,0.033996428190095476,75.40983606557377,12.295081967213115,12.295081967213115,0.47029621354168794,0.36184426229508193,21.973737754826427,0.455613124204205,0.23982063888169305,2.073419442556084,2.1885207346157336
3,1,122,0.17999018079706944,0.006694083892657268,68.85245901639344,16.39344262295082,14.754098360655737,0.41719420482423947,0.3449180327868852,21.958802057242472,0.4301599493062236,0.23358369071564972,2.073419442556084,2.1870331823288565
3,2,122,0.20695541757060357,0.02569126726181218,73.77049180327869,13.934426229508196,12.295081967213115,0.48076320036771,0.3449180327868852,25.248560943613636,0.4588900532519759,0.27637847039272495,2.073419442556084,2.5146836537707613
4,1,122,0.15512623135454118,0.018488516379951983,74.59016393442623,16.39344262295082,9.01639344262295,0.3975805124913617,0.3211338797814208,18.925400225254023,0.393855798307023,0.2135454151794974,2.073419442556084,1.8849151321455224
4,2,122,0.18312513919210957,0.02616298529133152,72.1311475409836,16.39344262295082,11.475409836065573,0.46271551181515974,0.3211338797814208,22.341266981437368,0.41278228557896435,0.23992616992577975,2.073419442556084,2.225125582729872
5,1,124,0.1409902203143269,0.008869706367032474,79.03225806451613,13.709677419354838,7.258064516129033,0.37457643141231706,0.3083870967741935,17.482787318976534,0.3137948762380444,0.19213383545911478,2.107409925220938,1.741235058566821
5,2,124,0.15287729876575223,0.00253412476348342,81.45161290322581,11.29032258064516,7.258064516129033,0.42370870389239956,0.3083870967741935,18.95678504695328,0.3435040476175528,0.21363213247203508,2.107409925220938,1.8880409696251268
6,1,123,0.12016706457431847,0.046211648474066974,81.30081300813008,13.008130081300814,5.691056910569105,0.37865583529951,0.27854742547425476,14.780548942641172,0.2848028346950662,0.17718875316947602,2.090414683888511,1.4720999308762517
6,2,123,0.14882039312792378,0.03445030823799065,78.86178861788618,13.008130081300814,8.130081300813007,0.40041972783158947,0.27854742547425476,18.304908354734625,0.3359451011974183,0.2143038806718824,2.090414683888511,1.8231159362397673
7,1,118,0.1392073113078849,0.04153868062579915,78.8135593220339,15.254237288135593,5.932203389830509,0.37297523078694694,0.26367231638418076,16.42646273433042,0.3917442809435595,0.19075161140922592,2.0054384772263765,1.636028184716941
7,2,118,0.16657072148803787,0.034707161115921294,77.11864406779661,13.559322033898304,9.322033898305085,0.40226591227649333,0.26367231638418076,19.65534513558847,0.4344300967519702,0.2293721828092028,2.0054384772263765,1.9576155342900448
