turbine,lead_day,sector_i,sector,season_year,season,speed_bin,n,median_ratio,q25,q75,mean_power,mean_forecast_wind,mean_measured_wind
t1,1,0,N,2024,autumn,2–4,1,0.7314814814814815,0.7314814814814815,0.7314814814814815,0.01,2.16,1.58
t1,1,0,N,2024,autumn,4–6,1,0.8974116161616161,0.8974116161616161,0.8974116161616161,0.14166666666666666,5.28,4.738333333333333
t1,1,0,N,2024,spring,2–4,1,0.6749999999999999,0.6749999999999999,0.6749999999999999,0.01,2.0,1.3499999999999999
t1,1,0,N,2024,summer,2–4,8,1.4671474358974361,0.7978766025641025,2.852566232500443,0.23020833333333332,2.50125,4.774375
t1,1,0,N,2025,autumn,2–4,3,0.9710743801652894,0.897086897684984,1.660120523415978,0.04611111111111111,2.233333333333333,2.975
t1,1,0,N,2025,spring,2–4,4,1.2890033446369675,1.0661707862351393,1.4369606256742178,0.02625,2.255,2.7454166666666664
t1,1,0,N,2025,summer,2–4,6,1.9369729703588419,1.469172097426002,2.5170791890794684,0.3,2.895,5.789999999999999
t1,1,0,N,2025,summer,4–6,4,0.8691163990077033,0.6614391427167772,1.0958559611012884,0.18291666666666667,5.1225000000000005,4.585833333333333
t1,1,1,NNE,2024,autumn,2–4,7,1.044392523364486,0.6618156409639199,1.6475754716600743,0.1652380952380952,2.8414285714285716,3.7104761904761903
t1,1,1,NNE,2024,spring,2–4,7,0.7413127413127413,0.6586909714914766,1.077929290185497,0.021190476190476194,2.501428571428572,2.1964285714285716
t1,1,1,NNE,2024,summer,2–4,8,2.1291271794334783,1.8664068393261253,2.4144628050538754,0.21708333333333332,2.60625,5.187708333333333
t1,1,1,NNE,2024,winter,2–4,2,1.537583148558758,1.1366777531411676,1.9384885439763484,0.0475,2.33,3.478333333333333
t1,1,1,NNE,2025,autumn,2–4,6,1.2648319686819398,0.971990937411498,1.9005554596921965,0.11499999999999999,2.5866666666666664,3.788611111111111
t1,1,1,NNE,2025,spring,2–4,7,1.251937984496124,1.0339976170200051,1.334736330444485,0.05904761904761906,2.457142857142857,3.220952380952381
t1,1,1,NNE,2025,summer,2–4,7,1.835808580858086,1.4668023751296873,2.8496307466264543,0.29190476190476194,2.5242857142857145,5.7680952380952375
t1,1,1,NNE,2025,summer,4–6,3,0.7382650029708853,0.5921246834328484,1.3477929376225144,0.31166666666666665,5.216666666666667,5.5683333333333325
t1,1,1,NNE,2025,summer,6–8,2,0.6553802477387332,0.6012541886705447,0.7095063068069216,0.12,7.1850000000000005,4.751666666666667
t1,1,1,NNE,2026,winter,2–4,2,0.9626483572152265,0.9099589303806629,1.0153377840497901,0.020833333333333336,3.105,2.92
t1,1,2,NE,2024,autumn,2–4,41,1.2695578231292517,0.916243654822335,2.3550387596899225,0.22345528455284555,2.9934146341463417,4.9087195121951215
t1,1,2,NE,2024,autumn,4–6,17,0.9595469255663431,0.3054461942257218,1.4264937106918236,0.12009803921568626,4.623529411764705,3.9465686274509806
t1,1,2,NE,2024,autumn,6–8,1,1.0748910675381262,1.0748910675381262,1.0748910675381262,0.32,6.12,6.578333333333333
t1,1,2,NE,2024,spring,2–4,26,0.8750346482338063,0.6085925273865415,1.5355285131123206,0.11916666666666666,2.7465384615384614,3.272307692307692
