turbine,sector,direction_deg,wake_upwind_count,wake_distance_weight,forest_fraction,residential_fraction,upwind_slope,local_slope
t1,N,0.0,1,0.5116394589506779,0.0,0.0,0.0036766442875537813,0.0049248514451405425
t1,NNE,22.5,0,0.0,0.0,0.0,0.004238077781587267,0.006492158255292273
t1,NE,45.0,0,0.0,0.0,0.0,0.0031031760270682556,0.007071092822636889
t1,ENE,67.5,0,0.0,0.0,0.0,0.00042386375265643497,0.006573517607351097
t1,E,90.0,0,0.0,0.0,0.0,-0.002428644236409669,0.005075183925431596
t1,ESE,112.5,0,0.0,0.0,0.0,-0.00508116690512361,0.0028041994975219857
t1,SE,135.0,1,0.6027687547090724,0.0,0.0,-0.005735352849592513,0.00010630111624639798
t1,SSE,157.5,0,0.0,0.0,0.0,-0.005909926191068587,-0.002607780646355686
t1,S,180.0,0,0.0,0.0,0.0,-0.009114760841918623,-0.004924851445140542
t1,SSW,202.5,0,0.0,0.0,0.0,-0.012957471883257913,-0.006492158255292272
t1,SW,225.0,0,0.0,0.0,0.0,-0.010345583005115911,-0.00707109282263689
t1,WSW,247.5,0,0.0,0.0,0.0,-0.01005814043205646,-0.006573517607351095
t1,W,270.0,3,1.1528593678310213,0.0,0.0,-0.007597973110367692,-0.005075183925431597
t1,WNW,292.5,8,3.424611395383246,0.0,0.5047770700636943,-0.0038545828564969216,-0.002804199497521983
t1,NW,315.0,4,1.8874719223270804,0.0,0.20317460317460317,0.0006644578365112046,-0.00010630111624639884
t1,NNW,337.5,3,1.4668578737189562,0.0,0.0,0.0028472532268896786,0.002607780646355688
t2,N,0.0,0,0.0,0.0,0.0,0.00367000654174865,0.004824832461698993
t2,NNE,22.5,0,0.0,0.0,0.0,0.003954313684548911,0.0059404673382855
t2,NE,45.0,0,0.0,0.0,0.0,0.0021469707243028974,0.006151719913088559
t2,ENE,67.5,0,0.0,0.0,0.0,-0.000935112793971204,0.005426428896603762
t2,E,90.0,0,0.0,0.0,0.0,-0.0042069326055840075,0.0038750132713114846
t2,ESE,112.5,0,0.0,0.0,0.0,-0.007083471741322713,0.00173366200254481
t2,SE,135.0,0,0.0,0.0,0.0,-0.007871330116823875,-0.0006716235904241229
t2,SSE,157.5,0,0.0,0.0,0.0,-0.008309711513334187,-0.002974660580033992
t2,S,180.0,0,0.0,0.0,0.0,-0.010366906323249275,-0.004824832461698992
t2,SSW,202.5,0,0.0,0.0,0.0,-0.014090668819004133,-0.0059404673382855
t2,SW,225.0,0,0.0,0.0,0.0,-0.010864467471901404,-0.0061517199130885596
t2,WSW,247.5,0,0.0,0.0,0.0,-0.009554044651180255,-0.0054264288966037605
t2,W,270.0,1,0.2855437622548913,0.0,0.0,-0.007265976671116642,-0.003875013271311485
t2,WNW,292.5,8,2.5050288369353395,0.0,0.4729299363057325,-0.003718605636274583,-0.0017336620025448083
t2,NW,315.0,8,3.13285632568258,0.0,0.2365079365079365,0.0006600537139889372,0.000671623590424122
t2,NNW,337.5,2,0.7682004798803357,0.0,0.0,0.0027862233967629888,0.002974660580033994
