turbine,lead_day,sector_i,sector,year,n,median_ratio,q25,q75,mean_power,mean_forecast_wind,mean_measured_wind
t1,1,0,N,2024,11,0.8974116161616161,0.7247150997150997,2.0605116334283,0.18212121212121213,2.6772727272727277,4.169393939393939
t1,1,0,N,2025,17,1.4295950155763242,0.9710743801652894,1.4772393538913362,0.16323529411764706,3.151764705882353,4.293529411764705
t1,1,1,NNE,2024,24,1.3572709573207058,0.7288114689399321,2.0627048536572596,0.13069444444444445,2.62125,3.741944444444444
t1,1,1,NNE,2025,26,1.2722029666070362,0.869467279174726,1.926942799420129,0.16743589743589743,3.2373076923076924,4.426410256410256
t1,1,1,NNE,2026,1,1.0680272108843536,1.0680272108843536,1.0680272108843536,0.01,2.45,2.6166666666666667
t1,1,2,NE,2024,133,1.1377450980392159,0.6913145539906103,2.001179245283019,0.1811152882205514,3.3522556390977445,4.441936090225564
t1,1,2,NE,2025,274,1.2007767461895902,0.8244461188894925,1.4786960017470023,0.32369525547445255,5.105328467153284,6.011152676399027
t1,1,2,NE,2026,79,1.140686274509804,0.8124617359533919,1.4056731691238162,0.3798523206751055,5.77253164556962,6.390675105485232
t1,1,3,ENE,2024,771,1.4285714285714284,1.0683353673285398,1.6532484965635739,0.49600648508430606,5.604695201037614,7.677803285776049
t1,1,3,ENE,2025,1844,1.210615761910755,0.8885553129548762,1.5216124807488378,0.44282745842371657,6.1131616052060735,7.298627801879971
t1,1,3,ENE,2026,302,1.0855186906630951,0.9134362385456261,1.3477563652307913,0.41089955849889626,6.396788079470198,7.084387417218544
t1,1,4,E,2024,1499,1.2603092783505154,0.997101890414577,1.5267592510990482,0.5222577273738047,6.266077384923283,7.879611074049366
t1,1,4,E,2025,1213,1.2535981577432354,0.9259628154050465,1.5385342789598109,0.48226435834020337,6.140107172300082,7.5602904644133
t1,1,4,E,2026,35,1.5669485553206481,1.3496149190182,2.136771680216802,0.5896190476190476,5.289428571428571,8.428142857142857
t1,1,5,ESE,2024,107,1.3049242424242424,0.7826413659283085,1.8938154005911016,0.1777570093457944,3.4080373831775703,4.58309968847352
t1,1,5,ESE,2025,126,1.284217286849786,0.8636612659374726,1.6451971045269156,0.19703703703703704,3.766031746031746,4.8918121693121694
t1,1,5,ESE,2026,2,1.89177559912854,1.4728485838779957,2.310702614379085,0.12583333333333335,2.6550000000000002,4.683333333333334
t1,1,6,SE,2024,26,1.5130154282551542,0.6386618103331985,2.1222143996996152,0.14275641025641025,2.608076923076923,3.937628205128205
t1,1,6,SE,2025,46,1.2799461537780845,0.7640127904538611,1.9474986843407893,0.12112318840579711,2.955,3.8393478260869567
t1,1,7,SSE,2024,25,1.4025764895330115,0.7808285163776494,1.5732217573221756,0.1336,3.1988,3.8236666666666665
t1,1,7,SSE,2025,39,1.0416666666666667,0.4326915304654283,1.745036764705882,0.13076923076923075,2.8366666666666664,3.5498717948717946
t1,1,7,SSE,2026,1,1.0684818481848184,1.0684818481848184,1.0684818481848184,0.01,2.02,2.158333333333333
t1,1,8,S,2024,36,1.136658367050524,0.6304526915701052,1.7845627589295712,0.20921296296296296,3.4058333333333333,4.40162037037037
t1,1,8,S,2025,64,0.9646988670244485,0.6716787496201893,1.6084001782531194,0.20377604166666666,4.3103125,4.79796875
t1,1,9,SSW,2024,62,0.9866783398184177,0.6251616238331652,1.335803774124458,0.12556451612903227,3.5664516129032258,3.7853763440860213
t1,1,9,SSW,2025,97,1.231464174454829,0.8159636062861869,1.7703962703962706,0.20259450171821305,3.7648453608247423,4.938006872852234
t1,1,9,SSW,2026,3,1.6483050847457628,1.0813908497225473,1.714430320150659,0.05611111111111111,3.676666666666667,4.495555555555556
t1,1,10,SW,2024,222,1.1474665774935384,0.6952036051305138,1.5521184765011924,0.1977027027027027,4.233513513513514,4.730135135135135
t1,1,10,SW,2025,399,1.1606837606837608,0.7565366360547083,1.546277377136752,0.2778780284043442,4.782606516290727,5.525183792815372
t1,1,10,SW,2026,25,1.3595085470085468,0.9299065420560747,2.0145772594752187,0.233,4.2164,5.5588
t1,1,11,WSW,2024,1380,0.9673382173382172,0.7488423952793924,1.1851988594384135,0.45654227053140095,7.803007246376811,7.359642512077295
t1,1,11,WSW,2025,1725,0.9733487833140209,0.6845148315736551,1.2432569974554706,0.39857478260869567,7.063640579710145,6.7012394202898555
t1,1,11,WSW,2026,133,1.1713080168776369,0.9052823315118397,1.4103410341034104,0.3359022556390977,5.834135338345864,6.285726817042606
t1,1,12,W,2024,896,0.9097714655355944,0.7413443512821642,1.1104059733168783,0.4312548363095238,7.975904017857142,7.185277715773809
t1,1,12,W,2025,1215,0.9265644955300129,0.6737406112406112,1.1930922406542475,0.4226074074074074,7.5375473251028815,6.937548971193415
t1,1,12,W,2026,39,1.2097435897435898,0.5025103150548863,1.4997631112759033,0.07935897435897436,4.127692307692308,3.9126923076923075
t1,1,13,WNW,2024,154,0.9645085725677831,0.6237483826017717,1.1969620118799054,0.2006168831168831,5.0335064935064935,4.7101948051948055
t1,1,13,WNW,2025,277,0.9509803921568628,0.6654265873015873,1.194621372965322,0.259413357400722,5.53826714801444,5.361743682310469
t1,1,13,WNW,2026,4,1.6405561166418186,1.0181116408809312,2.2223121291339893,0.125,2.48,4.1575
t1,1,14,NW,2024,31,0.944954128440367,0.6379740995290824,1.4775293349196352,0.13129032258064516,3.234193548387097,3.6921505376344084
t1,1,14,NW,2025,46,1.1549969360968142,0.5939527519591763,1.5048274518140592,0.1454891304347826,3.604347826086957,3.921376811594203
t1,1,14,NW,2026,1,1.0741626794258374,1.0741626794258374,1.0741626794258374,0.01,2.09,2.245
t1,1,15,NNW,2024,6,1.5180280607341918,0.8942853481965533,2.6707520482016243,0.16361111111111112,2.2483333333333335,4.175833333333333
t1,1,15,NNW,2025,19,0.8939176245210728,0.6105996933942628,1.316927894202848,0.1267543859649123,3.8247368421052634,3.7331578947368427
t1,2,0,N,2024,15,1.1116005873715125,0.8140529795600882,1.897546600877193,0.16577777777777777,2.476,3.971888888888889
