turbine,lead_day,sector_i,sector,speed_bin,n,median_ratio,q25,q75,mean_power,mean_forecast_wind,mean_measured_wind
t1,1,0,N,2–4,23,1.4344660194174756,0.8292901830702049,2.3729366267465073,0.16978260869565218,2.4895652173913043,4.163985507246377
t1,1,0,N,4–6,5,0.8974116161616161,0.7536231884057971,0.9846096096096096,0.17466666666666666,5.154,4.616333333333333
t1,1,1,NNE,2–4,46,1.293917372042372,0.8682740160715916,2.0596555901875306,0.1375,2.5980434782608697,3.941340579710145
t1,1,1,NNE,4–6,3,0.7382650029708853,0.5921246834328484,1.3477929376225144,0.31166666666666665,5.216666666666667,5.5683333333333325
t1,1,1,NNE,6–8,2,0.6553802477387332,0.6012541886705447,0.7095063068069216,0.12,7.1850000000000005,4.751666666666667
t1,1,2,NE,2–4,225,1.2444444444444442,0.7460815047021944,1.9471153846153846,0.13677407407407408,2.945422222222222,4.073185185185185
t1,1,2,NE,4–6,140,1.077421412387426,0.571292963261182,1.5370469805150828,0.27008333333333334,4.924285714285714,5.442119047619047
t1,1,2,NE,6–8,75,1.0913358941527955,0.8787982717414856,1.290730026817943,0.4583111111111111,7.032133333333333,7.419733333333333
t1,1,2,NE,8–10,37,1.2184615384615385,1.1484812150279775,1.3496532027743777,0.854054054054054,8.857837837837838,10.862297297297298
t1,1,2,NE,10–12,9,1.1813446969696968,1.15359477124183,1.2161654135338344,0.9144444444444445,10.385555555555555,11.772037037037036
t1,1,3,ENE,2–4,557,1.426517571884984,0.8844827586206897,1.9829178208679596,0.17986834230999402,3.1392280071813286,4.663444045481747
t1,1,3,ENE,4–6,1011,1.2237888647866955,0.8937138399161769,1.5874141876430206,0.3276343554236729,5.018595450049456,6.195912462908012
t1,1,3,ENE,6–8,826,1.2198125702210616,0.9369545031190029,1.519512891703903,0.5733633979015335,6.976416464891042,8.38218946731235
t1,1,3,ENE,8–10,401,1.2451420029895368,0.9903143274853802,1.4184359518754424,0.7540274314214465,8.799825436408977,10.358470490440565
t1,1,3,ENE,10–12,83,1.1747416020671835,1.076702322807297,1.3190833504209243,0.9473694779116465,10.790722891566265,12.907911646586344
t1,1,3,ENE,12+,39,0.9516711833785004,0.8779635812979885,1.1122305864543407,0.9504273504273504,13.243333333333334,13.008803418803419
t1,1,4,E,2–4,576,1.3041238788509033,0.7325791813639035,1.8601774483378257,0.1457974537037037,3.12484375,4.221681712962963
