lat,lon,elevation_m,i,j,x_m,y_m
47.94601,67.91945,409.0,0,0,-6000,-6000
47.94601,67.926162,415.0,1,0,-5500,-6000
47.94601,67.932875,413.0,2,0,-5000,-6000
47.94601,67.939587,413.0,3,0,-4500,-6000
47.94601,67.9463,411.0,4,0,-4000,-6000
47.94601,67.953012,409.0,5,0,-3500,-6000
47.94601,67.959725,412.0,6,0,-3000,-6000
47.94601,67.966437,414.0,7,0,-2500,-6000
47.94601,67.97315,411.0,8,0,-2000,-6000
47.94601,67.979862,412.0,9,0,-1500,-6000
47.94601,67.986575,412.0,10,0,-1000,-6000
47.94601,67.993287,412.0,11,0,-500,-6000
47.94601,68.0,415.0,12,0,0,-6000
47.94601,68.006713,420.0,13,0,500,-6000
47.94601,68.013425,418.0,14,0,1000,-6000
47.94601,68.020138,415.0,15,0,1500,-6000
47.94601,68.02685,417.0,16,0,2000,-6000
47.94601,68.033563,415.0,17,0,2500,-6000
47.94601,68.040275,418.0,18,0,3000,-6000
47.94601,68.046988,419.0,19,0,3500,-6000
47.94601,68.0537,417.0,20,0,4000,-6000
47.94601,68.060413,421.0,21,0,4500,-6000
47.94601,68.067125,421.0,22,0,5000,-6000
47.94601,68.073838,421.0,23,0,5500,-6000
47.94601,68.08055,421.0,24,0,6000,-6000
47.950509,67.91945,406.0,0,1,-6000,-5500
47.950509,67.926162,408.0,1,1,-5500,-5500
47.950509,67.932875,409.0,2,1,-5000,-5500
47.950509,67.939587,409.0,3,1,-4500,-5500
47.950509,67.9463,408.0,4,1,-4000,-5500
47.950509,67.953012,408.0,5,1,-3500,-5500
47.950509,67.959725,414.0,6,1,-3000,-5500
47.950509,67.966437,410.0,7,1,-2500,-5500
47.950509,67.97315,409.0,8,1,-2000,-5500
47.950509,67.979862,410.0,9,1,-1500,-5500
47.950509,67.986575,410.0,10,1,-1000,-5500
47.950509,67.993287,408.0,11,1,-500,-5500
47.950509,68.0,410.0,12,1,0,-5500
47.950509,68.006713,412.0,13,1,500,-5500
47.950509,68.013425,416.0,14,1,1000,-5500
47.950509,68.020138,416.0,15,1,1500,-5500
47.950509,68.02685,418.0,16,1,2000,-5500
47.950509,68.033563,414.0,17,1,2500,-5500
47.950509,68.040275,420.0,18,1,3000,-5500
47.950509,68.046988,414.0,19,1,3500,-5500
47.950509,68.0537,416.0,20,1,4000,-5500
47.950509,68.060413,420.0,21,1,4500,-5500
47.950509,68.067125,420.0,22,1,5000,-5500
47.950509,68.073838,418.0,23,1,5500,-5500
47.950509,68.08055,419.0,24,1,6000,-5500
47.955008,67.91945,403.0,0,2,-6000,-5000
47.955008,67.926162,404.0,1,2,-5500,-5000
47.955008,67.932875,405.0,2,2,-5000,-5000
47.955008,67.939587,408.0,3,2,-4500,-5000
47.955008,67.9463,406.0,4,2,-4000,-5000
47.955008,67.953012,404.0,5,2,-3500,-5000
47.955008,67.959725,410.0,6,2,-3000,-5000
47.955008,67.966437,408.0,7,2,-2500,-5000
47.955008,67.97315,408.0,8,2,-2000,-5000
47.955008,67.979862,408.0,9,2,-1500,-5000
47.955008,67.986575,407.0,10,2,-1000,-5000
47.955008,67.993287,406.0,11,2,-500,-5000
47.955008,68.0,404.0,12,2,0,-5000
47.955008,68.006713,406.0,13,2,500,-5000
47.955008,68.013425,410.0,14,2,1000,-5000
47.955008,68.020138,411.0,15,2,1500,-5000
47.955008,68.02685,415.0,16,2,2000,-5000
47.955008,68.033563,416.0,17,2,2500,-5000
47.955008,68.040275,414.0,18,2,3000,-5000
47.955008,68.046988,412.0,19,2,3500,-5000
47.955008,68.0537,417.0,20,2,4000,-5000
47.955008,68.060413,412.0,21,2,4500,-5000
47.955008,68.067125,412.0,22,2,5000,-5000
47.955008,68.073838,412.0,23,2,5500,-5000
47.955008,68.08055,414.0,24,2,6000,-5000
47.959508,67.91945,402.0,0,3,-6000,-4500
47.959508,67.926162,402.0,1,3,-5500,-4500
47.959508,67.932875,404.0,2,3,-5000,-4500
