issue_date,issue_time_utc,target_time_utc,target_time_local,lead_hours,lead_day,turbine,p10,p50,p90,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_gusts_10m,temperature_2m,surface_pressure,weather_source,model_version
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-16T19:00:00+00:00,2026-02-17T00:00:00+05:00,1,1,t1,0.1392,0.5802,0.9042,4.99,64.0,1.81,5.6,3.9,953.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-16T20:00:00+00:00,2026-02-17T01:00:00+05:00,2,1,t1,0.1939,0.5912,0.9022,5.73,65.0,2.17,5.6,3.9,953.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-16T21:00:00+00:00,2026-02-17T02:00:00+05:00,3,1,t1,0.2105,0.5163,0.9259,6.11,65.0,2.38,5.5,3.7,954.2,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-16T22:00:00+00:00,2026-02-17T03:00:00+05:00,4,1,t1,0.1515,0.5379,0.954,6.65,67.0,2.85,5.4,3.9,954.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-16T23:00:00+00:00,2026-02-17T04:00:00+05:00,5,1,t1,0.1248,0.379,0.8966,6.05,69.0,2.53,5.2,3.8,954.9,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-17T00:00:00+00:00,2026-02-17T05:00:00+05:00,6,1,t1,0.0,0.3225,0.7538,2.44,79.0,0.4,4.5,3.2,956.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-17T01:00:00+00:00,2026-02-17T06:00:00+05:00,7,1,t1,0.0,0.2187,0.5446,2.06,86.0,0.6,3.9,3.5,957.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-17T02:00:00+00:00,2026-02-17T07:00:00+05:00,8,1,t1,0.0017,0.1669,0.4992,3.09,76.0,1.31,3.4,3.2,957.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-17T03:00:00+00:00,2026-02-17T08:00:00+05:00,9,1,t1,0.004,0.1245,0.4738,4.44,71.0,2.06,2.7,3.5,958.2,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-16,2026-02-16T18:00:00+00:00,2026-02-17T04:00:00+00:00,2026-02-17T09:00:00+05:00,10,1,t1,0.0031,0.1415,0.501,5.48,54.0,2.72,2.2,3.8,959.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
