issue_date,issue_time_utc,target_time_utc,target_time_local,lead_hours,lead_day,turbine,p10,p50,p90,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_gusts_10m,temperature_2m,surface_pressure,weather_source,model_version
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T08:00:00+00:00,2026-02-10T13:00:00+05:00,1,1,t1,0.0,0.3001,0.5427,4.99,249.0,3.53,9.9,9.3,949.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T09:00:00+00:00,2026-02-10T14:00:00+05:00,2,1,t1,0.0,0.2536,0.446,5.99,257.0,3.91,9.8,10.2,949.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T10:00:00+00:00,2026-02-10T15:00:00+05:00,3,1,t1,0.0,0.2289,0.4741,5.83,248.0,4.03,9.0,10.9,950.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T11:00:00+00:00,2026-02-10T16:00:00+05:00,4,1,t1,0.0,0.2848,0.5185,5.91,214.0,3.12,6.8,7.9,949.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T12:00:00+00:00,2026-02-10T17:00:00+05:00,5,1,t1,0.0,0.2333,0.4538,5.48,190.0,3.44,5.3,4.6,947.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T13:00:00+00:00,2026-02-10T18:00:00+05:00,6,1,t1,0.0018,0.1645,0.4011,3.93,168.0,3.16,3.3,1.9,946.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T14:00:00+00:00,2026-02-10T19:00:00+05:00,7,1,t1,0.0,0.3626,0.5377,4.08,109.0,2.9,2.9,1.1,946.2,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T15:00:00+00:00,2026-02-10T20:00:00+05:00,8,1,t1,0.0785,0.4319,0.8387,7.16,73.0,3.5,3.3,1.8,947.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T16:00:00+00:00,2026-02-10T21:00:00+05:00,9,1,t1,0.2946,0.6322,1.0,9.0,71.0,4.62,6.3,1.5,947.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T17:00:00+00:00,2026-02-10T22:00:00+05:00,10,1,t1,0.7661,0.9553,0.9912,10.18,65.0,5.4,9.2,0.9,946.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T18:00:00+00:00,2026-02-10T23:00:00+05:00,11,1,t1,0.888,0.9638,0.9911,11.34,65.0,6.33,10.6,0.9,945.8,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T19:00:00+00:00,2026-02-11T00:00:00+05:00,12,1,t1,0.8986,0.9611,0.9918,11.97,72.0,6.71,12.1,1.5,945.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T20:00:00+00:00,2026-02-11T01:00:00+05:00,13,1,t1,0.7486,0.9238,0.9936,10.69,72.0,6.0,12.9,0.8,945.2,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T21:00:00+00:00,2026-02-11T02:00:00+05:00,14,1,t1,0.5305,0.906,0.9926,8.57,72.0,4.43,12.4,0.0,945.9,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T22:00:00+00:00,2026-02-11T03:00:00+05:00,15,1,t1,0.4087,0.8541,0.9947,7.12,74.0,3.52,12.3,-0.3,945.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-10T23:00:00+00:00,2026-02-11T04:00:00+05:00,16,1,t1,0.2885,0.7574,0.9676,4.85,68.0,2.06,12.4,0.1,946.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T00:00:00+00:00,2026-02-11T05:00:00+05:00,17,1,t1,0.1689,0.4852,0.8304,4.09,98.0,2.17,9.9,0.6,947.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T01:00:00+00:00,2026-02-11T06:00:00+05:00,18,1,t1,0.005,0.1043,0.3678,2.27,68.0,0.67,4.6,-0.5,947.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T02:00:00+00:00,2026-02-11T07:00:00+05:00,19,1,t1,0.0058,0.0899,0.2591,2.44,118.0,1.46,4.7,-0.5,949.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T03:00:00+00:00,2026-02-11T08:00:00+05:00,20,1,t1,0.0046,0.113,0.3879,4.85,202.0,3.51,3.5,1.5,949.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T04:00:00+00:00,2026-02-11T09:00:00+05:00,21,1,t1,0.0029,0.1437,0.4032,3.22,234.0,1.59,3.4,6.0,949.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T05:00:00+00:00,2026-02-11T10:00:00+05:00,22,1,t1,0.0017,0.1667,0.5658,1.97,297.0,1.8,6.3,6.4,951.2,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T06:00:00+00:00,2026-02-11T11:00:00+05:00,23,1,t1,0.1036,0.3949,0.8093,3.0,118.0,2.28,10.3,7.6,949.8,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T07:00:00+00:00,2026-02-11T12:00:00+05:00,24,1,t1,0.0178,0.3524,0.8824,2.82,27.0,2.4,11.5,9.3,949.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T08:00:00+00:00,2026-02-11T13:00:00+05:00,25,2,t1,0.0,0.4309,0.9076,1.2,185.0,0.92,15.1,9.7,950.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T09:00:00+00:00,2026-02-11T14:00:00+05:00,26,2,t1,0.0,0.3514,0.9363,7.67,274.0,5.81,11.0,11.0,950.9,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T10:00:00+00:00,2026-02-11T15:00:00+05:00,27,2,t1,0.1296,0.4933,0.9714,12.22,258.0,8.56,12.9,6.3,953.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T11:00:00+00:00,2026-02-11T16:00:00+05:00,28,2,t1,0.1839,0.8034,1.0,12.7,247.0,8.36,16.8,4.5,953.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T12:00:00+00:00,2026-02-11T17:00:00+05:00,29,2,t1,0.7294,0.9501,0.992,13.19,248.0,8.39,19.3,3.5,954.3,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T13:00:00+00:00,2026-02-11T18:00:00+05:00,30,2,t1,0.6405,0.8943,0.9992,11.94,247.0,7.58,20.2,2.2,955.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T14:00:00+00:00,2026-02-11T19:00:00+05:00,31,2,t1,0.8488,0.9591,0.9945,12.01,247.0,7.5,19.7,1.4,956.3,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T15:00:00+00:00,2026-02-11T20:00:00+05:00,32,2,t1,0.8176,0.9391,0.9959,10.9,245.0,6.74,17.1,1.0,956.9,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T16:00:00+00:00,2026-02-11T21:00:00+05:00,33,2,t1,0.6018,0.9325,0.9959,9.68,240.0,6.0,13.4,0.5,957.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
2026-02-10,2026-02-10T07:00:00+00:00,2026-02-11T17:00:00+00:00,2026-02-11T22:00:00+05:00,34,2,t1,0.4865,0.8905,1.0,8.57,236.0,4.95,11.4,-0.2,957.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31
