lat,lon,elevation_m,i,j,x_m,y_m
49.44601,83.667008,390.0,0,0,-6000.0,-6000.0
49.44601,83.673924,398.0,1,0,-5500.0,-6000.0
49.44601,83.68084,414.0,2,0,-5000.0,-6000.0
49.44601,83.687756,432.0,3,0,-4500.0,-6000.0
49.44601,83.694672,503.0,4,0,-4000.0,-6000.0
49.44601,83.701588,530.0,5,0,-3500.0,-6000.0
49.44601,83.708504,473.0,6,0,-3000.0,-6000.0
49.44601,83.71542,472.0,7,0,-2500.0,-6000.0
49.44601,83.722336,411.0,8,0,-2000.0,-6000.0
49.44601,83.729252,398.0,9,0,-1500.0,-6000.0
49.44601,83.736168,546.0,10,0,-1000.0,-6000.0
49.44601,83.743084,441.0,11,0,-500.0,-6000.0
49.44601,83.75,421.0,12,0,0.0,-6000.0
49.44601,83.756916,390.0,13,0,500.0,-6000.0
49.44601,83.763832,390.0,14,0,1000.0,-6000.0
49.44601,83.770748,390.0,15,0,1500.0,-6000.0
49.44601,83.777664,390.0,16,0,2000.0,-6000.0
49.44601,83.78458,390.0,17,0,2500.0,-6000.0
49.44601,83.791496,390.0,18,0,3000.0,-6000.0
49.44601,83.798412,390.0,19,0,3500.0,-6000.0
49.44601,83.805328,390.0,20,0,4000.0,-6000.0
49.44601,83.812244,390.0,21,0,4500.0,-6000.0
49.44601,83.81916,390.0,22,0,5000.0,-6000.0
49.44601,83.826076,390.0,23,0,5500.0,-6000.0
49.44601,83.832992,390.0,24,0,6000.0,-6000.0
49.450509,83.667008,390.0,0,1,-6000.0,-5500.0
49.450509,83.673924,413.0,1,1,-5500.0,-5500.0
49.450509,83.68084,452.0,2,1,-5000.0,-5500.0
49.450509,83.687756,461.0,3,1,-4500.0,-5500.0
49.450509,83.694672,550.0,4,1,-4000.0,-5500.0
49.450509,83.701588,501.0,5,1,-3500.0,-5500.0
49.450509,83.708504,410.0,6,1,-3000.0,-5500.0
49.450509,83.71542,416.0,7,1,-2500.0,-5500.0
49.450509,83.722336,396.0,8,1,-2000.0,-5500.0
49.450509,83.729252,390.0,9,1,-1500.0,-5500.0
49.450509,83.736168,463.0,10,1,-1000.0,-5500.0
49.450509,83.743084,390.0,11,1,-500.0,-5500.0
49.450509,83.75,390.0,12,1,0.0,-5500.0
49.450509,83.756916,390.0,13,1,500.0,-5500.0
