lat,lon,elevation_m,i,j,x_m,y_m
47.94601,68.03945,417.0,0,0,-6000.0,-6000.0
47.94601,68.046162,420.0,1,0,-5500.0,-6000.0
47.94601,68.052875,418.0,2,0,-5000.0,-6000.0
47.94601,68.059587,421.0,3,0,-4500.0,-6000.0
47.94601,68.0663,421.0,4,0,-4000.0,-6000.0
47.94601,68.073012,421.0,5,0,-3500.0,-6000.0
47.94601,68.079725,421.0,6,0,-3000.0,-6000.0
47.94601,68.086437,418.0,7,0,-2500.0,-6000.0
47.94601,68.09315,416.0,8,0,-2000.0,-6000.0
47.94601,68.099862,417.0,9,0,-1500.0,-6000.0
47.94601,68.106575,417.0,10,0,-1000.0,-6000.0
47.94601,68.113287,418.0,11,0,-500.0,-6000.0
47.94601,68.12,418.0,12,0,0.0,-6000.0
47.94601,68.126713,417.0,13,0,500.0,-6000.0
47.94601,68.133425,415.0,14,0,1000.0,-6000.0
47.94601,68.140138,414.0,15,0,1500.0,-6000.0
47.94601,68.14685,415.0,16,0,2000.0,-6000.0
47.94601,68.153563,412.0,17,0,2500.0,-6000.0
47.94601,68.160275,406.0,18,0,3000.0,-6000.0
47.94601,68.166988,402.0,19,0,3500.0,-6000.0
47.94601,68.1737,396.0,20,0,4000.0,-6000.0
47.94601,68.180413,393.0,21,0,4500.0,-6000.0
47.94601,68.187125,392.0,22,0,5000.0,-6000.0
47.94601,68.193838,390.0,23,0,5500.0,-6000.0
47.94601,68.20055,388.0,24,0,6000.0,-6000.0
47.950509,68.03945,419.0,0,1,-6000.0,-5500.0
47.950509,68.046162,414.0,1,1,-5500.0,-5500.0
47.950509,68.052875,415.0,2,1,-5000.0,-5500.0
47.950509,68.059587,419.0,3,1,-4500.0,-5500.0
47.950509,68.0663,420.0,4,1,-4000.0,-5500.0
47.950509,68.073012,418.0,5,1,-3500.0,-5500.0
47.950509,68.079725,419.0,6,1,-3000.0,-5500.0
47.950509,68.086437,419.0,7,1,-2500.0,-5500.0
47.950509,68.09315,419.0,8,1,-2000.0,-5500.0
47.950509,68.099862,416.0,9,1,-1500.0,-5500.0
47.950509,68.106575,418.0,10,1,-1000.0,-5500.0
47.950509,68.113287,417.0,11,1,-500.0,-5500.0
47.950509,68.12,414.0,12,1,0.0,-5500.0
47.950509,68.126713,413.0,13,1,500.0,-5500.0
47.950509,68.133425,411.0,14,1,1000.0,-5500.0
47.950509,68.140138,410.0,15,1,1500.0,-5500.0
47.950509,68.14685,409.0,16,1,2000.0,-5500.0
47.950509,68.153563,409.0,17,1,2500.0,-5500.0
47.950509,68.160275,404.0,18,1,3000.0,-5500.0
47.950509,68.166988,402.0,19,1,3500.0,-5500.0
47.950509,68.1737,397.0,20,1,4000.0,-5500.0
