lat,lon,elevation_m,i,j,x_m,y_m
46.44601,80.541699,402.0,0,0,-6000.0,-6000.0
46.44601,80.548224,402.0,1,0,-5500.0,-6000.0
46.44601,80.554749,401.0,2,0,-5000.0,-6000.0
46.44601,80.561274,400.0,3,0,-4500.0,-6000.0
46.44601,80.5678,399.0,4,0,-4000.0,-6000.0
46.44601,80.574325,399.0,5,0,-3500.0,-6000.0
46.44601,80.58085,398.0,6,0,-3000.0,-6000.0
46.44601,80.587375,398.0,7,0,-2500.0,-6000.0
46.44601,80.5939,398.0,8,0,-2000.0,-6000.0
46.44601,80.600425,399.0,9,0,-1500.0,-6000.0
46.44601,80.60695,397.0,10,0,-1000.0,-6000.0
46.44601,80.613475,396.0,11,0,-500.0,-6000.0
46.44601,80.62,395.0,12,0,0.0,-6000.0
46.44601,80.626525,394.0,13,0,500.0,-6000.0
46.44601,80.63305,394.0,14,0,1000.0,-6000.0
46.44601,80.639575,395.0,15,0,1500.0,-6000.0
46.44601,80.6461,393.0,16,0,2000.0,-6000.0
46.44601,80.652625,393.0,17,0,2500.0,-6000.0
46.44601,80.65915,392.0,18,0,3000.0,-6000.0
46.44601,80.665675,391.0,19,0,3500.0,-6000.0
46.44601,80.6722,391.0,20,0,4000.0,-6000.0
46.44601,80.678726,390.0,21,0,4500.0,-6000.0
46.44601,80.685251,388.0,22,0,5000.0,-6000.0
46.44601,80.691776,387.0,23,0,5500.0,-6000.0
46.44601,80.698301,386.0,24,0,6000.0,-6000.0
46.450509,80.541699,401.0,0,1,-6000.0,-5500.0
46.450509,80.548224,400.0,1,1,-5500.0,-5500.0
46.450509,80.554749,399.0,2,1,-5000.0,-5500.0
46.450509,80.561274,399.0,3,1,-4500.0,-5500.0
46.450509,80.5678,399.0,4,1,-4000.0,-5500.0
46.450509,80.574325,399.0,5,1,-3500.0,-5500.0
46.450509,80.58085,400.0,6,1,-3000.0,-5500.0
46.450509,80.587375,399.0,7,1,-2500.0,-5500.0
46.450509,80.5939,396.0,8,1,-2000.0,-5500.0
46.450509,80.600425,396.0,9,1,-1500.0,-5500.0
46.450509,80.60695,395.0,10,1,-1000.0,-5500.0
46.450509,80.613475,395.0,11,1,-500.0,-5500.0
46.450509,80.62,394.0,12,1,0.0,-5500.0
46.450509,80.626525,395.0,13,1,500.0,-5500.0
46.450509,80.63305,394.0,14,1,1000.0,-5500.0
46.450509,80.639575,392.0,15,1,1500.0,-5500.0
46.450509,80.6461,391.0,16,1,2000.0,-5500.0
46.450509,80.652625,395.0,17,1,2500.0,-5500.0
46.450509,80.65915,392.0,18,1,3000.0,-5500.0
46.450509,80.665675,390.0,19,1,3500.0,-5500.0
46.450509,80.6722,390.0,20,1,4000.0,-5500.0
46.450509,80.678726,389.0,21,1,4500.0,-5500.0
46.450509,80.685251,388.0,22,1,5000.0,-5500.0
46.450509,80.691776,388.0,23,1,5500.0,-5500.0
46.450509,80.698301,385.0,24,1,6000.0,-5500.0
46.455008,80.541699,401.0,0,2,-6000.0,-5000.0
46.455008,80.548224,400.0,1,2,-5500.0,-5000.0
46.455008,80.554749,402.0,2,2,-5000.0,-5000.0
46.455008,80.561274,399.0,3,2,-4500.0,-5000.0
46.455008,80.5678,398.0,4,2,-4000.0,-5000.0
46.455008,80.574325,398.0,5,2,-3500.0,-5000.0
46.455008,80.58085,397.0,6,2,-3000.0,-5000.0
46.455008,80.587375,396.0,7,2,-2500.0,-5000.0
46.455008,80.5939,396.0,8,2,-2000.0,-5000.0
46.455008,80.600425,395.0,9,2,-1500.0,-5000.0
46.455008,80.60695,394.0,10,2,-1000.0,-5000.0
46.455008,80.613475,394.0,11,2,-500.0,-5000.0
46.455008,80.62,394.0,12,2,0.0,-5000.0
46.455008,80.626525,393.0,13,2,500.0,-5000.0
46.455008,80.63305,392.0,14,2,1000.0,-5000.0
46.455008,80.639575,394.0,15,2,1500.0,-5000.0
46.455008,80.6461,391.0,16,2,2000.0,-5000.0
46.455008,80.652625,391.0,17,2,2500.0,-5000.0
46.455008,80.65915,391.0,18,2,3000.0,-5000.0
46.455008,80.665675,389.0,19,2,3500.0,-5000.0
46.455008,80.6722,389.0,20,2,4000.0,-5000.0
46.455008,80.678726,388.0,21,2,4500.0,-5000.0
46.455008,80.685251,388.0,22,2,5000.0,-5000.0
46.455008,80.691776,385.0,23,2,5500.0,-5000.0
46.455008,80.698301,384.0,24,2,6000.0,-5000.0
46.459508,80.541699,399.0,0,3,-6000.0,-4500.0
46.459508,80.548224,399.0,1,3,-5500.0,-4500.0
46.459508,80.554749,399.0,2,3,-5000.0,-4500.0
46.459508,80.561274,399.0,3,3,-4500.0,-4500.0
46.459508,80.5678,398.0,4,3,-4000.0,-4500.0
46.459508,80.574325,398.0,5,3,-3500.0,-4500.0
46.459508,80.58085,397.0,6,3,-3000.0,-4500.0
46.459508,80.587375,396.0,7,3,-2500.0,-4500.0
46.459508,80.5939,396.0,8,3,-2000.0,-4500.0
46.459508,80.600425,395.0,9,3,-1500.0,-4500.0
46.459508,80.60695,394.0,10,3,-1000.0,-4500.0
46.459508,80.613475,393.0,11,3,-500.0,-4500.0
46.459508,80.62,392.0,12,3,0.0,-4500.0
46.459508,80.626525,391.0,13,3,500.0,-4500.0
46.459508,80.63305,390.0,14,3,1000.0,-4500.0
46.459508,80.639575,390.0,15,3,1500.0,-4500.0
46.459508,80.6461,389.0,16,3,2000.0,-4500.0
46.459508,80.652625,390.0,17,3,2500.0,-4500.0
46.459508,80.65915,389.0,18,3,3000.0,-4500.0
46.459508,80.665675,388.0,19,3,3500.0,-4500.0
46.459508,80.6722,388.0,20,3,4000.0,-4500.0
46.459508,80.678726,388.0,21,3,4500.0,-4500.0
46.459508,80.685251,386.0,22,3,5000.0,-4500.0
46.459508,80.691776,384.0,23,3,5500.0,-4500.0
46.459508,80.698301,383.0,24,3,6000.0,-4500.0
46.464007,80.541699,399.0,0,4,-6000.0,-4000.0
46.464007,80.548224,397.0,1,4,-5500.0,-4000.0
46.464007,80.554749,397.0,2,4,-5000.0,-4000.0
46.464007,80.561274,396.0,3,4,-4500.0,-4000.0
46.464007,80.5678,395.0,4,4,-4000.0,-4000.0
46.464007,80.574325,400.0,5,4,-3500.0,-4000.0
46.464007,80.58085,398.0,6,4,-3000.0,-4000.0
46.464007,80.587375,399.0,7,4,-2500.0,-4000.0
46.464007,80.5939,395.0,8,4,-2000.0,-4000.0
46.464007,80.600425,394.0,9,4,-1500.0,-4000.0
46.464007,80.60695,394.0,10,4,-1000.0,-4000.0
46.464007,80.613475,393.0,11,4,-500.0,-4000.0
46.464007,80.62,392.0,12,4,0.0,-4000.0
46.464007,80.626525,391.0,13,4,500.0,-4000.0
46.464007,80.63305,390.0,14,4,1000.0,-4000.0
46.464007,80.639575,389.0,15,4,1500.0,-4000.0
46.464007,80.6461,388.0,16,4,2000.0,-4000.0
46.464007,80.652625,388.0,17,4,2500.0,-4000.0
46.464007,80.65915,387.0,18,4,3000.0,-4000.0
46.464007,80.665675,387.0,19,4,3500.0,-4000.0
46.464007,80.6722,387.0,20,4,4000.0,-4000.0
46.464007,80.678726,386.0,21,4,4500.0,-4000.0
46.464007,80.685251,386.0,22,4,5000.0,-4000.0
46.464007,80.691776,384.0,23,4,5500.0,-4000.0
46.464007,80.698301,384.0,24,4,6000.0,-4000.0
46.468506,80.541699,397.0,0,5,-6000.0,-3500.0
46.468506,80.548224,396.0,1,5,-5500.0,-3500.0
46.468506,80.554749,396.0,2,5,-5000.0,-3500.0
46.468506,80.561274,395.0,3,5,-4500.0,-3500.0
46.468506,80.5678,394.0,4,5,-4000.0,-3500.0
46.468506,80.574325,394.0,5,5,-3500.0,-3500.0
46.468506,80.58085,397.0,6,5,-3000.0,-3500.0
46.468506,80.587375,396.0,7,5,-2500.0,-3500.0
46.468506,80.5939,394.0,8,5,-2000.0,-3500.0
46.468506,80.600425,392.0,9,5,-1500.0,-3500.0
46.468506,80.60695,392.0,10,5,-1000.0,-3500.0
46.468506,80.613475,391.0,11,5,-500.0,-3500.0
46.468506,80.62,392.0,12,5,0.0,-3500.0
46.468506,80.626525,390.0,13,5,500.0,-3500.0
46.468506,80.63305,390.0,14,5,1000.0,-3500.0
46.468506,80.639575,389.0,15,5,1500.0,-3500.0
46.468506,80.6461,388.0,16,5,2000.0,-3500.0
46.468506,80.652625,388.0,17,5,2500.0,-3500.0
46.468506,80.65915,388.0,18,5,3000.0,-3500.0
46.468506,80.665675,387.0,19,5,3500.0,-3500.0
46.468506,80.6722,386.0,20,5,4000.0,-3500.0
46.468506,80.678726,384.0,21,5,4500.0,-3500.0
46.468506,80.685251,384.0,22,5,5000.0,-3500.0
46.468506,80.691776,384.0,23,5,5500.0,-3500.0
46.468506,80.698301,382.0,24,5,6000.0,-3500.0
46.473005,80.541699,396.0,0,6,-6000.0,-3000.0
46.473005,80.548224,396.0,1,6,-5500.0,-3000.0
46.473005,80.554749,395.0,2,6,-5000.0,-3000.0
46.473005,80.561274,394.0,3,6,-4500.0,-3000.0
46.473005,80.5678,393.0,4,6,-4000.0,-3000.0
46.473005,80.574325,393.0,5,6,-3500.0,-3000.0
46.473005,80.58085,392.0,6,6,-3000.0,-3000.0
46.473005,80.587375,392.0,7,6,-2500.0,-3000.0
46.473005,80.5939,394.0,8,6,-2000.0,-3000.0
46.473005,80.600425,392.0,9,6,-1500.0,-3000.0
46.473005,80.60695,392.0,10,6,-1000.0,-3000.0
46.473005,80.613475,391.0,11,6,-500.0,-3000.0
46.473005,80.62,390.0,12,6,0.0,-3000.0
46.473005,80.626525,389.0,13,6,500.0,-3000.0
46.473005,80.63305,388.0,14,6,1000.0,-3000.0
46.473005,80.639575,388.0,15,6,1500.0,-3000.0
46.473005,80.6461,388.0,16,6,2000.0,-3000.0
46.473005,80.652625,387.0,17,6,2500.0,-3000.0
46.473005,80.65915,386.0,18,6,3000.0,-3000.0
46.473005,80.665675,385.0,19,6,3500.0,-3000.0
46.473005,80.6722,384.0,20,6,4000.0,-3000.0
46.473005,80.678726,383.0,21,6,4500.0,-3000.0
46.473005,80.685251,382.0,22,6,5000.0,-3000.0
46.473005,80.691776,383.0,23,6,5500.0,-3000.0
46.473005,80.698301,382.0,24,6,6000.0,-3000.0
46.477504,80.541699,396.0,0,7,-6000.0,-2500.0
46.477504,80.548224,395.0,1,7,-5500.0,-2500.0
46.477504,80.554749,394.0,2,7,-5000.0,-2500.0
46.477504,80.561274,393.0,3,7,-4500.0,-2500.0
46.477504,80.5678,393.0,4,7,-4000.0,-2500.0
